sample,fastq_1,fastq_2,strandedness
CONTROL_REP1,data/processed/new_data/reads_1_ctl_11_03_25_merged.fastq.gz,,auto
CONTROL_REP2,data/processed/new_data/reads_2_ctl_11_03_25_merged.fastq.gz,,auto
CONTROL_REP3,data/processed/new_data/reads_3_ctl_11_03_25_merged.fastq.gz,,auto
TUB_REP1,data/processed/new_data/reads_4_tub_10mm_11_03_25_merged.fastq.gz,,auto
TUB_REP2,data/processed/new_data/reads_5_tub_10mm_11_03_25_merged.fastq.gz,,auto
TUB_REP3,data/processed/new_data/reads_6_tub_10mm_11_03_25_merged.fastq.gz,,auto
SSA_REP1,data/processed/new_data/reads_7_ssa_1mm_11_03_25_merged.fastq.gz,,auto
SSA_REP2,data/processed/new_data/reads_8_ssa_1mm_11_03_25_merged.fastq.gz,,auto
SSA_REP3,data/processed/new_data/reads_9_ssa_1mm_11_03_25_merged.fastq.gz,,auto
CONTROL_PLADB_REP1,data/processed/new_data/reads_10_ctl_13_03_25_merged.fastq.gz,,auto
CONTROL_PLADB_REP2,data/processed/new_data/reads_11_ctl_13_03_25_merged.fastq.gz,,auto
CONTROL_PLADB_REP3,data/processed/new_data/reads_12_ctl_13_03_25_merged.fastq.gz,,auto
PLADB_REP1,data/processed/new_data/reads_13_pladb_3mm_13_03_25_merged.fastq.gz,,auto
PLADB_REP2,data/processed/new_data/reads_14_pladb_3mm_13_03_25_merged.fastq.gz,,auto
PLADB_REP3,data/processed/new_data/reads_15_pladb_3mm_13_03_25_merged.fastq.gz,,auto