C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX0019486	MmuEX0022484	MmuEX0022551
MmuEX0019521	MmuEX0022528	MmuEX0022558
MmuEX0019576	MmuEX0022582	MmuEX0022581
MmuEX0019632	MmuEX0022583	MmuEX0022613
MmuEX0019676	MmuEX0022591	MmuEX0022640
MmuEX0019725	MmuEX0022619	MmuEX0023001
MmuEX0019730	MmuEX0022661	MmuEX0023020
MmuEX0019740	MmuEX0022667	MmuEX0023049
MmuEX0019808	MmuEX0022720	MmuEX0023061
MmuEX0019827	MmuEX0022789	MmuEX0023062
MmuEX0019875	MmuEX0022790	MmuEX0023064
MmuEX0019961	MmuEX0022829	MmuEX0023076
MmuEX0019967	MmuEX0022873	MmuEX0023124
MmuEX0019981	MmuEX0022874	MmuEX0023184
MmuEX0020042	MmuEX0022877	MmuEX0023241
MmuEX0020159	MmuEX0022946	MmuEX0023275
MmuEX0020271	MmuEX0023018	MmuEX0023319
MmuEX0020272	MmuEX0023038	MmuEX0023324
MmuEX0020510	MmuEX0023141	MmuEX0023329
MmuEX0020587	MmuEX0023157	MmuEX0023357
MmuEX0020658	MmuEX0023234	MmuEX0023382
MmuEX0020905	MmuEX0023235	MmuEX0023385
MmuEX0021101	MmuEX0023251	MmuEX0023422
MmuEX0021241	MmuEX0023270	MmuEX0023461
MmuEX0021257	MmuEX0023360	MmuEX0023609
MmuEX0021258	MmuEX0023387	MmuEX0023674
MmuEX0021308	MmuEX0023388	MmuEX0023698
MmuEX0021417	MmuEX0023467	MmuEX0023735
MmuEX0021429	MmuEX0023533	MmuEX0023803
MmuEX0021438	MmuEX0023547	MmuEX0023805
MmuEX0021485	MmuEX0023641	MmuEX0023862
MmuEX0021486	MmuEX0023665	MmuEX0023868
MmuEX0021588	MmuEX0023691	MmuEX0024114
MmuEX0021597	MmuEX0023743	MmuEX0024127
MmuEX0021598	MmuEX0023936	MmuEX0024128
MmuEX0021610	MmuEX0024001	MmuEX0024129
MmuEX0021671	MmuEX0024053	MmuEX0024132
MmuEX0021672	MmuEX0024094	MmuEX0024180
MmuEX0021676	MmuEX0024199	MmuEX0024217
MmuEX0021774	MmuEX0024206	MmuEX0024223
MmuEX0021846	MmuEX0024214	MmuEX0024261
MmuEX0021986	MmuEX0024275	MmuEX0024262
MmuEX0021993	MmuEX0024304	MmuEX0024302
MmuEX0022009	MmuEX0024307	MmuEX0024389
MmuEX0022010	MmuEX0024360	MmuEX0024402
MmuEX0022048	MmuEX0024371	MmuEX0024559
MmuEX0022059	MmuEX0024391	MmuEX0024632
MmuEX0022092	MmuEX0024462	MmuEX0024659
MmuEX0022173	MmuEX0024516	MmuEX0024737
MmuEX0022178	MmuEX0024517	MmuEX0024800
MmuEX0022209	MmuEX0024538	MmuEX0024841
MmuEX0022214	MmuEX0024548	MmuEX0024850
MmuEX0022217	MmuEX0024561	MmuEX0024851
MmuEX0022352	MmuEX0024562	MmuEX0024960
MmuEX0022396	MmuEX0024681	MmuEX0024993
MmuEX0022466	MmuEX0024715	MmuEX0025035
MmuEX0022500	MmuEX0024717	MmuEX0025224
MmuEX0022505	MmuEX0024755	MmuEX0025241
MmuEX0022554	MmuEX0024797	MmuEX0025266
MmuEX0022572	MmuEX0024804	MmuEX0025267
MmuEX0022669	MmuEX0024823	MmuEX0025268
MmuEX0022671	MmuEX0024848	MmuEX0025270
MmuEX0022695	MmuEX0024849	MmuEX0025283
MmuEX0022721	MmuEX0024871	MmuEX0025298
MmuEX0022910	MmuEX0024873	MmuEX0025342
MmuEX0023002	MmuEX0024876	MmuEX0025346
MmuEX0023053	MmuEX0024892	MmuEX0025393
MmuEX0023166	MmuEX0024912	MmuEX0025458
MmuEX0023223	MmuEX0024967	MmuEX0025459
MmuEX0023228	MmuEX0025006	MmuEX0025534
MmuEX0023229	MmuEX0025036	MmuEX0025546
MmuEX0023355	MmuEX0025229	MmuEX0025601
MmuEX0023523	MmuEX0025258	MmuEX0025613
MmuEX0023534	MmuEX0025431	MmuEX0025614
MmuEX0023536	MmuEX0025468	MmuEX0025615
MmuEX0023655	MmuEX0025559	MmuEX0025617
MmuEX0023676	MmuEX0025595	MmuEX0025626
MmuEX0023677	MmuEX0025716	MmuEX0025661
MmuEX0023678	MmuEX0025741	MmuEX0025671
MmuEX0023702	MmuEX0025745	MmuEX0025701
MmuEX0023723	MmuEX0025760	MmuEX0025702
MmuEX0023726	MmuEX0025761	MmuEX0025721
MmuEX0023734	MmuEX0025762	MmuEX0025742
MmuEX0023736	MmuEX0025796	MmuEX0025756
MmuEX0023737	MmuEX0025848	MmuEX0025791
MmuEX0023738	MmuEX0025864	MmuEX0025861
MmuEX0023747	MmuEX0025888	MmuEX0025891
MmuEX0023783	MmuEX0025928	MmuEX0025901
MmuEX0023784	MmuEX0025941	MmuEX0025916
MmuEX0023833	MmuEX0025950	MmuEX0025921
MmuEX0024037	MmuEX0026001	MmuEX0025942
MmuEX0024107	MmuEX0026014	MmuEX0025993
MmuEX0024201	MmuEX0026021	MmuEX0026067
MmuEX0024226	MmuEX0026075	MmuEX0026097
MmuEX0024227	MmuEX0026099	MmuEX0026174
MmuEX0024228	MmuEX0026229	MmuEX0026201
MmuEX0024374	MmuEX0026256	MmuEX0026203
MmuEX0024376	MmuEX0026370	MmuEX0026269
MmuEX0024406	MmuEX0026494	MmuEX0026389
MmuEX0024564	MmuEX0026554	MmuEX0026465
MmuEX0024616	MmuEX0026561	MmuEX0026590
MmuEX0024751	MmuEX0026605	MmuEX0026760
MmuEX0024758	MmuEX0026616	MmuEX0026845
MmuEX0024832	MmuEX0026679	MmuEX0026921
MmuEX0024862	MmuEX0026682	MmuEX0026929
MmuEX0024908	MmuEX0026695	MmuEX0026967
MmuEX0024940	MmuEX0026750	MmuEX0026989
MmuEX0024998	MmuEX0026816	MmuEX0027033
MmuEX0025206	MmuEX0026916	MmuEX0027038
MmuEX0025235	MmuEX0026983	MmuEX0027341
MmuEX0025452	MmuEX0027002	MmuEX0027387
MmuEX0025532	MmuEX0027006	MmuEX0027421
MmuEX0025540	MmuEX0027020	MmuEX0027472
MmuEX0025604	MmuEX0027052	MmuEX0027729
MmuEX0025639	MmuEX0027218	MmuEX0027807
MmuEX0025876	MmuEX0027225	MmuEX0027934
MmuEX0025900	MmuEX0027301	MmuEX0027947
MmuEX0025957	MmuEX0027326	MmuEX0028016
MmuEX0025958	MmuEX0027385	MmuEX0028021
MmuEX0026030	MmuEX0027492	MmuEX0028074
MmuEX0026107	MmuEX0027662	MmuEX0028088
MmuEX0026145	MmuEX0027667	MmuEX0028147
MmuEX0026156	MmuEX0027669	MmuEX0028152
MmuEX0026249	MmuEX0027676	MmuEX0028153
MmuEX0026306	MmuEX0027701	MmuEX0028220
MmuEX0026319	MmuEX0027766	MmuEX0028232
MmuEX0026344	MmuEX0027768	MmuEX0028258
MmuEX0026453	MmuEX0027798	MmuEX0028301
MmuEX0026454	MmuEX0027960	MmuEX0028328
MmuEX0026462	MmuEX0027995	MmuEX0028448
MmuEX0026463	MmuEX0028001	MmuEX0028457
MmuEX0026479	MmuEX0028002	MmuEX0028671
MmuEX0026512	MmuEX0028057	MmuEX0028709
MmuEX0026529	MmuEX0028066	MmuEX0028723
MmuEX0026565	MmuEX0028226	MmuEX0028729
MmuEX0026580	MmuEX0028227	MmuEX0028738
MmuEX0026584	MmuEX0028235	MmuEX0028806
MmuEX0026612	MmuEX0028288	MmuEX0028844
MmuEX0026622	MmuEX0028319	MmuEX0028850
MmuEX0026630	MmuEX0028449	MmuEX0028959
MmuEX0026665	MmuEX0028503	MmuEX0029019
MmuEX0026693	MmuEX0028504	MmuEX0029039
MmuEX0026782	MmuEX0028530	MmuEX0029066
MmuEX0026830	MmuEX0028541	MmuEX0029130
MmuEX0026838	MmuEX0028642	MmuEX0029260
MmuEX0026914	MmuEX0028668	MmuEX0029263
MmuEX0026932	MmuEX0029006	MmuEX0029332
MmuEX0027018	MmuEX0029016	MmuEX0029338
MmuEX0027138	MmuEX0029047	MmuEX0029346
MmuEX0027185	MmuEX0029050	MmuEX0029380
MmuEX0027503	MmuEX0029058	MmuEX0029393
MmuEX0027517	MmuEX0029176	MmuEX0029417
MmuEX0027546	MmuEX0029273	MmuEX0029435
MmuEX0027748	MmuEX0029326	MmuEX0029436
MmuEX0027767	MmuEX0029353	MmuEX0029632
MmuEX0027803	MmuEX0029385	MmuEX0029663
MmuEX0027859	MmuEX0029415	MmuEX0029741
MmuEX0027892	MmuEX0029419	MmuEX0029749
MmuEX0027896	MmuEX0029605	MmuEX0029769
MmuEX0027943	MmuEX0029633	MmuEX0029783
MmuEX0027959	MmuEX0029658	MmuEX0029875
MmuEX0028010	MmuEX0029693	MmuEX0029921
MmuEX0028286	MmuEX0029708	MmuEX0029980
MmuEX0028299	MmuEX0029723	MmuEX0029981
MmuEX0028320	MmuEX0029724	MmuEX0030066
MmuEX0028323	MmuEX0029729	MmuEX0030093
MmuEX0028324	MmuEX0029743	MmuEX0030095
MmuEX0028329	MmuEX0029746	MmuEX0030098
MmuEX0028417	MmuEX0029761	MmuEX0030160
MmuEX0028420	MmuEX0029785	MmuEX0030204
MmuEX0028445	MmuEX0029792	MmuEX0030207
MmuEX0028484	MmuEX0029795	MmuEX0030441
MmuEX0028491	MmuEX0029797	MmuEX0030496
MmuEX0028495	MmuEX0029798	MmuEX0030627
MmuEX0028523	MmuEX0029799	MmuEX0030649
MmuEX0028553	MmuEX0029803	MmuEX0030676
MmuEX0028718	MmuEX0029804	MmuEX0030684
MmuEX0028721	MmuEX0029948	MmuEX0030691
MmuEX0028746	MmuEX0029959	MmuEX0030718
MmuEX0028767	MmuEX0029964	MmuEX0030732
MmuEX0028780	MmuEX0029969	MmuEX0030736
MmuEX0028797	MmuEX0029970	MmuEX0030743
MmuEX0028802	MmuEX0029977	MmuEX0030747
MmuEX0028809	MmuEX0030011	MmuEX0030750
MmuEX0028957	MmuEX0030142	MmuEX0030751
MmuEX0029024	MmuEX0030146	MmuEX0030797
MmuEX0029049	MmuEX0030147	MmuEX0030798
MmuEX0029053	MmuEX0030167	MmuEX0030821
MmuEX0029126	MmuEX0030168	MmuEX0031055
MmuEX0029269	MmuEX0030169	MmuEX0031145
MmuEX0029270	MmuEX0030174	MmuEX0031155
MmuEX0029334	MmuEX0030417	MmuEX0031157
MmuEX0029363	MmuEX0030450	MmuEX0031187
MmuEX0029372	MmuEX0030455	MmuEX0031224
MmuEX0029379	MmuEX0030648	MmuEX0031237
MmuEX0029444	MmuEX0030657	MmuEX0031316
MmuEX0029469	MmuEX0030690	MmuEX0031426
MmuEX0029480	MmuEX0030785	MmuEX0031428
MmuEX0029485	MmuEX0030913	MmuEX0031431
MmuEX0029517	MmuEX0030946	MmuEX0031432
MmuEX0029521	MmuEX0030965	MmuEX0031433
MmuEX0029672	MmuEX0030978	MmuEX0031437
MmuEX0029684	MmuEX0030995	MmuEX0031438
MmuEX0029709	MmuEX0031067	MmuEX0031439
MmuEX0029720	MmuEX0031163	MmuEX0031636
MmuEX0029721	MmuEX0031227	MmuEX0031715
MmuEX0029752	MmuEX0031250	MmuEX0031781
MmuEX0029832	MmuEX0031292	MmuEX0031782
MmuEX0029848	MmuEX0031427	MmuEX0031784
MmuEX0029906	MmuEX0031466	MmuEX0031836
MmuEX0029911	MmuEX0031467	MmuEX0031886
MmuEX0029946	MmuEX0031492	MmuEX0031898
MmuEX0029947	MmuEX0031497	MmuEX0031936
MmuEX0030010	MmuEX0031503	MmuEX0031978
MmuEX0030030	MmuEX0031504	MmuEX0032121
MmuEX0030075	MmuEX0031617	MmuEX0032240
MmuEX0030134	MmuEX0031639	MmuEX0032264
MmuEX0030141	MmuEX0031640	MmuEX0032290
MmuEX0030152	MmuEX0031647	MmuEX0032294
MmuEX0030185	MmuEX0031669	MmuEX0032483
MmuEX0030443	MmuEX0031680	MmuEX0032569
MmuEX0030473	MmuEX0031716	MmuEX0032621
MmuEX0030493	MmuEX0031717	MmuEX0032645
MmuEX0030529	MmuEX0031837	MmuEX0032675
MmuEX0030533	MmuEX0031838	MmuEX0032679
MmuEX0030647	MmuEX0031897	MmuEX0032722
MmuEX0030711	MmuEX0031948	MmuEX0032728
MmuEX0030722	MmuEX0031949	MmuEX0032941
MmuEX0030726	MmuEX0032091	MmuEX0033037
MmuEX0030728	MmuEX0032110	MmuEX0033053
MmuEX0030760	MmuEX0032296	MmuEX0033105
MmuEX0030786	MmuEX0032349	MmuEX0033194
MmuEX0030867	MmuEX0032360	MmuEX0033247
MmuEX0030877	MmuEX0032509	MmuEX0033281
MmuEX0030890	MmuEX0032517	MmuEX0033312
MmuEX0030934	MmuEX0032544	MmuEX0033335
MmuEX0031029	MmuEX0032568	MmuEX0033336
MmuEX0031063	MmuEX0032597	MmuEX0033353
MmuEX0031078	MmuEX0032619	MmuEX0033597
MmuEX0031079	MmuEX0032620	MmuEX0033604
MmuEX0031082	MmuEX0032683	MmuEX0033633
MmuEX0031090	MmuEX0032713	MmuEX0033637
MmuEX0031114	MmuEX0032784	MmuEX0033640
MmuEX0031142	MmuEX0032811	MmuEX0033709
MmuEX0031143	MmuEX0032891	MmuEX0033835
MmuEX0031291	MmuEX0032961	MmuEX0033873
MmuEX0031296	MmuEX0033019	MmuEX0033874
MmuEX0031385	MmuEX0033027	MmuEX0033886
MmuEX0031406	MmuEX0033088	MmuEX0033900
MmuEX0031422	MmuEX0033189	MmuEX0033988
MmuEX0031495	MmuEX0033249	MmuEX0034006
MmuEX0031499	MmuEX0033345	MmuEX0034012
MmuEX0031632	MmuEX0033350	MmuEX0034017
MmuEX0031676	MmuEX0033414	MmuEX0034018
MmuEX0031696	MmuEX0033425	MmuEX0034152
MmuEX0031780	MmuEX0033428	MmuEX0034255
MmuEX0031785	MmuEX0033488	MmuEX0034266
MmuEX0031834	MmuEX0033573	MmuEX0034268
MmuEX0031864	MmuEX0033631	MmuEX0034305
MmuEX0031937	MmuEX0033639	MmuEX0034339
MmuEX0031945	MmuEX0033663	MmuEX0034417
MmuEX0031967	MmuEX0033679	MmuEX0034481
MmuEX0032012	MmuEX0033689	MmuEX0034487
MmuEX0032013	MmuEX0033736	MmuEX0034497
MmuEX0032092	MmuEX0033746	MmuEX0034504
MmuEX0032116	MmuEX0033781	MmuEX0034508
MmuEX0032120	MmuEX0033817	MmuEX0034509
MmuEX0032153	MmuEX0034100	MmuEX0034511
MmuEX0032154	MmuEX0034120	MmuEX0034522
MmuEX0032172	MmuEX0034145	MmuEX0034565
MmuEX0032187	MmuEX0034256	MmuEX0034623
MmuEX0032194	MmuEX0034263	MmuEX0034700
MmuEX0032415	MmuEX0034264	MmuEX0034712
MmuEX0032439	MmuEX0034269	MmuEX0034714
MmuEX0032447	MmuEX0034299	MmuEX0034733
MmuEX0032448	MmuEX0034370	MmuEX0034782
MmuEX0032479	MmuEX0034371	MmuEX0034834
MmuEX0032482	MmuEX0034428	MmuEX0034855
MmuEX0032567	MmuEX0034433	MmuEX0034915
MmuEX0032667	MmuEX0034488	MmuEX0034960
MmuEX0032670	MmuEX0034505	MmuEX0034983
MmuEX0032704	MmuEX0034518	MmuEX0035011
MmuEX0032705	MmuEX0034619	MmuEX0035090
MmuEX0032706	MmuEX0034673	MmuEX0035208
MmuEX0032707	MmuEX0034742	MmuEX0035230
MmuEX0032772	MmuEX0034743	MmuEX0035231
MmuEX0032803	MmuEX0034790	MmuEX0035392
MmuEX0032830	MmuEX0034987	MmuEX0035459
MmuEX0032894	MmuEX0035051	MmuEX0035505
MmuEX0033095	MmuEX0035052	MmuEX0035540
MmuEX0033101	MmuEX0035053	MmuEX0035615
MmuEX0033139	MmuEX0035054	MmuEX0035657
MmuEX0033149	MmuEX0035055	MmuEX0035708
MmuEX0033150	MmuEX0035056	MmuEX0035723
MmuEX0033157	MmuEX0035063	MmuEX0035724
MmuEX0033158	MmuEX0035154	MmuEX0035745
MmuEX0033192	MmuEX0035406	MmuEX0035747
MmuEX0033193	MmuEX0035717	MmuEX0035767
MmuEX0033195	MmuEX0035718	MmuEX0035806
MmuEX0033252	MmuEX0035748	MmuEX0035938
MmuEX0033429	MmuEX0035804	MmuEX0035939
MmuEX0033500	MmuEX0035997	MmuEX0036076
MmuEX0033509	MmuEX0036091	MmuEX0036079
MmuEX0033515	MmuEX0036103	MmuEX0036081
MmuEX0033540	MmuEX0036164	MmuEX0036147
MmuEX0033592	MmuEX0036245	MmuEX0036154
MmuEX0033599	MmuEX0036246	MmuEX0036155
MmuEX0033719	MmuEX0036250	MmuEX0036156
MmuEX0033737	MmuEX0036257	MmuEX0036157
MmuEX0033784	MmuEX0036268	MmuEX0036158
MmuEX0033788	MmuEX0036312	MmuEX0036169
MmuEX0033829	MmuEX0036313	MmuEX0036170
MmuEX0033856	MmuEX0036340	MmuEX0036171
MmuEX0033903	MmuEX0036344	MmuEX0036183
MmuEX0033904	MmuEX0036348	MmuEX0036196
MmuEX0033978	MmuEX0036353	MmuEX0036223
MmuEX0034011	MmuEX0036359	MmuEX0036238
MmuEX0034028	MmuEX0036381	MmuEX0036241
MmuEX0034076	MmuEX0036382	MmuEX0036253
MmuEX0034110	MmuEX0036470	MmuEX0036308
MmuEX0034126	MmuEX0036534	MmuEX0036315
MmuEX0034134	MmuEX0036562	MmuEX0036325
MmuEX0034251	MmuEX0036570	MmuEX0036355
MmuEX0034253	MmuEX0036579	MmuEX0036437
MmuEX0034267	MmuEX0036607	MmuEX0036438
MmuEX0034272	MmuEX0036644	MmuEX0036442
MmuEX0034276	MmuEX0036769	MmuEX0036458
MmuEX0034289	MmuEX0036780	MmuEX0036547
MmuEX0034426	MmuEX0036786	MmuEX0036551
MmuEX0034437	MmuEX0036868	MmuEX0036585
MmuEX0034482	MmuEX0036892	MmuEX0036672
MmuEX0034490	MmuEX0037013	MmuEX0036677
MmuEX0034491	MmuEX0037058	MmuEX0036689
MmuEX0034519	MmuEX0037076	MmuEX0036802
MmuEX0034543	MmuEX0037108	MmuEX0036881
MmuEX0034556	MmuEX0037152	MmuEX0036960
MmuEX0034569	MmuEX0037209	MmuEX0037170
MmuEX0034571	MmuEX0037210	MmuEX0037194
MmuEX0034693	MmuEX0037221	MmuEX0037249
MmuEX0034752	MmuEX0037234	MmuEX0037263
MmuEX0034799	MmuEX0037243	MmuEX0037306
MmuEX0034859	MmuEX0037244	MmuEX0037337
MmuEX0034910	MmuEX0037358	MmuEX0037375
MmuEX0034923	MmuEX0037384	MmuEX0037573
MmuEX0034924	MmuEX0037390	MmuEX0037619
MmuEX0034967	MmuEX0037391	MmuEX0037627
MmuEX0034990	MmuEX0037558	MmuEX0037677
MmuEX0035020	MmuEX0037564	MmuEX0037680
MmuEX0035044	MmuEX0037631	MmuEX0037705
MmuEX0035075	MmuEX0037702	MmuEX0037710
MmuEX0035094	MmuEX0037734	MmuEX0037726
MmuEX0035112	MmuEX0037824	MmuEX0037760
MmuEX0035172	MmuEX0037869	MmuEX0037765
MmuEX0035218	MmuEX0037922	MmuEX0038017
MmuEX0035246	MmuEX0037989	MmuEX0038034
MmuEX0035466	MmuEX0037992	MmuEX0038060
MmuEX0035472	MmuEX0038055	MmuEX0038070
MmuEX0035520	MmuEX0038090	MmuEX0038082
MmuEX0035521	MmuEX0038212	MmuEX0038094
MmuEX0035660	MmuEX0038235	MmuEX0038095
MmuEX0035814	MmuEX0038267	MmuEX0038105
MmuEX0035828	MmuEX0038290	MmuEX0038172
MmuEX0035916	MmuEX0038380	MmuEX0038198
MmuEX0035975	MmuEX0038404	MmuEX0038340
MmuEX0036028	MmuEX0038408	MmuEX0038347
MmuEX0036029	MmuEX0038451	MmuEX0038351
MmuEX0036032	MmuEX0038463	MmuEX0038385
MmuEX0036033	MmuEX0038472	MmuEX0038427
MmuEX0036035	MmuEX0038486	MmuEX0038440
MmuEX0036045	MmuEX0038504	MmuEX0038464
MmuEX0036051	MmuEX0038512	MmuEX0038473
MmuEX0036054	MmuEX0038535	MmuEX0038495
MmuEX0036075	MmuEX0038536	MmuEX0038499
MmuEX0036087	MmuEX0038570	MmuEX0038502
MmuEX0036088	MmuEX0038575	MmuEX0038590
MmuEX0036126	MmuEX0038592	MmuEX0038652
MmuEX0036127	MmuEX0038599	MmuEX0038672
MmuEX0036141	MmuEX0038651	MmuEX0038736
MmuEX0036190	MmuEX0038656	MmuEX0038858
MmuEX0036262	MmuEX0038724	MmuEX0038859
MmuEX0036270	MmuEX0038743	MmuEX0038881
MmuEX0036276	MmuEX0038811	MmuEX0039031
MmuEX0036306	MmuEX0038819	MmuEX0039042
MmuEX0036407	MmuEX0038941	MmuEX0039074
MmuEX0036413	MmuEX0039047	MmuEX0039127
MmuEX0036416	MmuEX0039048	MmuEX0039199
MmuEX0036529	MmuEX0039155	MmuEX0039231
MmuEX0036542	MmuEX0039228	MmuEX0039232
MmuEX0036641	MmuEX0039237	MmuEX0039304
MmuEX0036720	MmuEX0039264	MmuEX0039369
MmuEX0036806	MmuEX0039292	MmuEX0039424
MmuEX0036807	MmuEX0039368	MmuEX0039459
MmuEX0036880	MmuEX0039400	MmuEX0039515
MmuEX0036904	MmuEX0039421	MmuEX0039517
MmuEX0036911	MmuEX0039484	MmuEX0039526
MmuEX0036964	MmuEX0039498	MmuEX0039543
MmuEX0037061	MmuEX0039570	MmuEX0039576
MmuEX0037066	MmuEX0039620	MmuEX0039606
MmuEX0037161	MmuEX0039660	MmuEX0039721
MmuEX0037162	MmuEX0039724	MmuEX0039748
MmuEX0037203	MmuEX0039804	MmuEX0039807
MmuEX0037245	MmuEX0039861	MmuEX0039862
MmuEX0037268	MmuEX0039909	MmuEX0039898
MmuEX0037270	MmuEX0039910	MmuEX0040072
MmuEX0037272	MmuEX0039911	MmuEX0040156
MmuEX0037273	MmuEX0039951	MmuEX0040164
MmuEX0037274	MmuEX0039989	MmuEX0040178
MmuEX0037275	MmuEX0039993	MmuEX0040224
MmuEX0037276	MmuEX0040025	MmuEX0040227
MmuEX0037277	MmuEX0040029	MmuEX0040232
MmuEX0037312	MmuEX0040035	MmuEX0040291
MmuEX0037406	MmuEX0040078	MmuEX0040335
MmuEX0037407	MmuEX0040082	MmuEX0040454
MmuEX0037491	MmuEX0040090	MmuEX0040486
MmuEX0037494	MmuEX0040091	MmuEX0040720
MmuEX0037588	MmuEX0040101	MmuEX0040739
MmuEX0037611	MmuEX0040173	MmuEX0040743
MmuEX0037620	MmuEX0040184	MmuEX0040785
MmuEX0037671	MmuEX0040207	MmuEX0040810
MmuEX0037672	MmuEX0040265	MmuEX0040811
MmuEX0037709	MmuEX0040287	MmuEX0040911
MmuEX0037731	MmuEX0040288	MmuEX0040928
MmuEX0037775	MmuEX0040295	MmuEX0040955
MmuEX0037825	MmuEX0040337	MmuEX0040975
MmuEX0037828	MmuEX0040341	MmuEX0040978
MmuEX0037913	MmuEX0040358	MmuEX0041075
MmuEX0037917	MmuEX0040428	MmuEX0041118
MmuEX0038028	MmuEX0040484	MmuEX0041155
MmuEX0038056	MmuEX0040500	MmuEX0041172
MmuEX0038067	MmuEX0040501	MmuEX0041319
MmuEX0038096	MmuEX0040503	MmuEX0041393
MmuEX0038101	MmuEX0040514	MmuEX0041395
MmuEX0038167	MmuEX0040549	MmuEX0041431
MmuEX0038191	MmuEX0040550	MmuEX0041442
MmuEX0038204	MmuEX0040551	MmuEX0041512
MmuEX0038205	MmuEX0040555	MmuEX0041572
MmuEX0038217	MmuEX0040600	MmuEX0041617
MmuEX0038251	MmuEX0040721	MmuEX0041625
MmuEX0038345	MmuEX0040741	MmuEX0041652
MmuEX0038349	MmuEX0040747	MmuEX0041693
MmuEX0038350	MmuEX0040787	MmuEX0041747
MmuEX0038353	MmuEX0040899	MmuEX0041750
MmuEX0038361	MmuEX0040910	MmuEX0041866
MmuEX0038461	MmuEX0040935	MmuEX0041881
MmuEX0038506	MmuEX0040974	MmuEX0041882
MmuEX0038692	MmuEX0040982	MmuEX0041908
MmuEX0038693	MmuEX0041026	MmuEX0041913
MmuEX0038804	MmuEX0041034	MmuEX0041925
MmuEX0038808	MmuEX0041036	MmuEX0042180
MmuEX0038823	MmuEX0041053	MmuEX0042247
MmuEX0038886	MmuEX0041068	MmuEX0042278
MmuEX0038960	MmuEX0041082	MmuEX0042407
MmuEX0038967	MmuEX0041120	MmuEX0042419
MmuEX0038974	MmuEX0041143	MmuEX0042467
MmuEX0038975	MmuEX0041148	MmuEX0042525
MmuEX0038976	MmuEX0041163	MmuEX0042538
MmuEX0038987	MmuEX0041191	MmuEX0042591
MmuEX0039043	MmuEX0041196	MmuEX0042592
MmuEX0039054	MmuEX0041197	MmuEX0042596
MmuEX0039070	MmuEX0041352	MmuEX0042597
MmuEX0039106	MmuEX0041390	MmuEX0042924
MmuEX0039109	MmuEX0041469	MmuEX0042925
MmuEX0039112	MmuEX0041550	MmuEX0043021
MmuEX0039159	MmuEX0041560	MmuEX0043112
MmuEX0039163	MmuEX0041618	MmuEX0043224
MmuEX0039351	MmuEX0041656	MmuEX0043405
MmuEX0039378	MmuEX0041680	MmuEX0043629
MmuEX0039396	MmuEX0041681	MmuEX0043810
MmuEX0039452	MmuEX0041740	MmuEX0043840
MmuEX0039466	MmuEX0041755	MmuEX0043903
MmuEX0039467	MmuEX0041816	MmuEX0043937
MmuEX0039469	MmuEX0041979	MmuEX0043958
MmuEX0039491	MmuEX0042078	MmuEX0044036
MmuEX0039518	MmuEX0042093	MmuEX0044049
MmuEX0039605	MmuEX0042185	MmuEX0044098
MmuEX0039667	MmuEX0042205	MmuEX0044142
MmuEX0039672	MmuEX0042359	MmuEX0044149
MmuEX0039673	MmuEX0042384	MmuEX0044210
MmuEX0039701	MmuEX0042448	MmuEX0044298
MmuEX0039775	MmuEX0042469	MmuEX0044304
MmuEX0039945	MmuEX0042510	MmuEX0044306
MmuEX0039946	MmuEX0042550	MmuEX0044312
MmuEX0039950	MmuEX0042605	MmuEX0044682
MmuEX0039998	MmuEX0042793	MmuEX0044709
MmuEX0040002	MmuEX0042874	MmuEX0044710
MmuEX0040084	MmuEX0043015	MmuEX0044772
MmuEX0040085	MmuEX0043090	MmuEX0044782
MmuEX0040210	MmuEX0043270	MmuEX0044889
MmuEX0040240	MmuEX0043603	MmuEX0044933
MmuEX0040243	MmuEX0043745	MmuEX0044935
