C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX0040264	MmuEX0043767	MmuEX0044982
MmuEX0040294	MmuEX0043832	MmuEX0045012
MmuEX0040330	MmuEX0043833	MmuEX0045106
MmuEX0040339	MmuEX0043881	MmuEX0045120
MmuEX0040340	MmuEX0043940	MmuEX0045121
MmuEX0040345	MmuEX0043941	MmuEX0045127
MmuEX0040360	MmuEX0043942	MmuEX0045166
MmuEX0040379	MmuEX0043943	MmuEX0045220
MmuEX0040383	MmuEX0043944	MmuEX0045221
MmuEX0040429	MmuEX0043947	MmuEX0045222
MmuEX0040494	MmuEX0043948	MmuEX0045223
MmuEX0040569	MmuEX0044024	MmuEX0045224
MmuEX0040575	MmuEX0044047	MmuEX0045225
MmuEX0040596	MmuEX0044048	MmuEX0045227
MmuEX0040625	MmuEX0044056	MmuEX0045229
MmuEX0040670	MmuEX0044087	MmuEX0045230
MmuEX0040683	MmuEX0044150	MmuEX0045231
MmuEX0040686	MmuEX0044197	MmuEX0045232
MmuEX0040730	MmuEX0044219	MmuEX0045233
MmuEX0040734	MmuEX0044241	MmuEX0045234
MmuEX0040836	MmuEX0044276	MmuEX0045239
MmuEX0041001	MmuEX0044297	MmuEX0045240
MmuEX0041010	MmuEX0044302	MmuEX0045241
MmuEX0041014	MmuEX0044317	MmuEX0045260
MmuEX0041110	MmuEX0044372	MmuEX0045302
MmuEX0041130	MmuEX0044442	MmuEX0045324
MmuEX0041150	MmuEX0044478	MmuEX0045329
MmuEX0041164	MmuEX0044520	MmuEX0045365
MmuEX0041166	MmuEX0044551	MmuEX0045376
MmuEX0041167	MmuEX0044807	MmuEX0045404
MmuEX0041168	MmuEX0044809	MmuEX0045405
MmuEX0041169	MmuEX0044821	MmuEX0045421
MmuEX0041170	MmuEX0044826	MmuEX0045509
MmuEX0041205	MmuEX0044833	MmuEX0045532
MmuEX0041206	MmuEX0044834	MmuEX0045611
MmuEX0041207	MmuEX0044847	MmuEX0045615
MmuEX0041227	MmuEX0044869	MmuEX0045685
MmuEX0041371	MmuEX0044875	MmuEX0045735
MmuEX0041461	MmuEX0044892	MmuEX0045781
MmuEX0041583	MmuEX0044901	MmuEX0045782
MmuEX0041605	MmuEX0044915	MmuEX0045821
MmuEX0041664	MmuEX0044917	MmuEX0045830
MmuEX0041667	MmuEX0044944	MmuEX0045893
MmuEX0041731	MmuEX0044965	MmuEX0045897
MmuEX0041787	MmuEX0045015	MmuEX0045952
MmuEX0041883	MmuEX0045099	MmuEX0046004
MmuEX0041916	MmuEX0045268	MmuEX0046121
MmuEX0041959	MmuEX0045327	MmuEX0046125
MmuEX0042000	MmuEX0045487	MmuEX0046192
MmuEX0042003	MmuEX0045493	MmuEX0046211
MmuEX0042021	MmuEX0045556	MmuEX0046244
MmuEX0042065	MmuEX0045557	MmuEX0046266
MmuEX0042104	MmuEX0045608	MmuEX0046268
MmuEX0042107	MmuEX0045609	MmuEX0046269
MmuEX0042154	MmuEX0045618	MmuEX0046286
MmuEX0042280	MmuEX0045629	MmuEX0046294
MmuEX0042312	MmuEX0045631	MmuEX0046301
MmuEX0042332	MmuEX0045638	MmuEX0046356
MmuEX0042389	MmuEX0045641	MmuEX0046358
MmuEX0042406	MmuEX0045676	MmuEX0046373
MmuEX0042415	MmuEX0045702	MmuEX0046436
MmuEX0042416	MmuEX0045703	MmuEX0046437
MmuEX0042428	MmuEX0046167	MmuEX0046454
MmuEX0042451	MmuEX0046193	MmuEX0046494
MmuEX0042520	MmuEX0046277	MmuEX0046501
MmuEX0042521	MmuEX0046293	MmuEX0046529
MmuEX0042542	MmuEX0046355	MmuEX0046553
MmuEX0042560	MmuEX0046429	MmuEX0046572
MmuEX0042561	MmuEX0046447	MmuEX0046576
MmuEX0042563	MmuEX0046493	MmuEX0046577
MmuEX0042574	MmuEX0046500	MmuEX0046579
MmuEX0042602	MmuEX0046669	MmuEX0046706
MmuEX0042603	MmuEX0046725	MmuEX0046734
MmuEX0042640	MmuEX0046774	MmuEX0046742
MmuEX0042643	MmuEX0046776	MmuEX0046778
MmuEX0042647	MmuEX0046795	MmuEX0046787
MmuEX0042681	MmuEX0046797	MmuEX0046813
MmuEX0042708	MmuEX0046798	MmuEX0046835
MmuEX0042812	MmuEX0046799	MmuEX0046970
MmuEX0042859	MmuEX0046817	MmuEX0046971
MmuEX0042889	MmuEX0046856	MmuEX0046972
MmuEX0042917	MmuEX0047001	MmuEX0046973
MmuEX0043068	MmuEX0047021	MmuEX0046974
MmuEX0043073	MmuEX0047036	MmuEX0046985
MmuEX0043107	MmuEX0047077	MmuEX0047005
MmuEX0043116	MmuEX0047095	MmuEX0047029
MmuEX0043130	MmuEX0047197	MmuEX0047030
MmuEX0043203	MmuEX0047229	MmuEX0047031
MmuEX0043227	MmuEX0047234	MmuEX0047033
MmuEX0043228	MmuEX0047365	MmuEX0047064
MmuEX0043229	MmuEX0047373	MmuEX0047075
MmuEX0043256	MmuEX0047382	MmuEX0047076
MmuEX0043318	MmuEX0047454	MmuEX0047088
MmuEX0043412	MmuEX0047461	MmuEX0047267
MmuEX0043419	MmuEX0047518	MmuEX0047301
MmuEX0043493	MmuEX0047557	MmuEX0047303
MmuEX0043547	MmuEX0047622	MmuEX0047307
MmuEX0043582	MmuEX0047640	MmuEX0047313
MmuEX0043652	MmuEX0047704	MmuEX0047385
MmuEX0043754	MmuEX0047791	MmuEX0047472
MmuEX0043755	MmuEX0047805	MmuEX0047621
MmuEX0043777	MmuEX0047818	MmuEX0047651
MmuEX0043829	MmuEX0047846	MmuEX0047670
MmuEX0043830	MmuEX0047895	MmuEX0047672
MmuEX0043911	MmuEX0047899	MmuEX0047675
MmuEX0043969	MmuEX0047903	MmuEX0047676
MmuEX0043970	MmuEX0047910	MmuEX0047677
MmuEX0044013	MmuEX0047911	MmuEX0047718
MmuEX0044055	MmuEX0048007	MmuEX0047821
MmuEX0044105	MmuEX0048009	MmuEX0047852
MmuEX0044121	MmuEX0048065	MmuEX0047855
MmuEX0044139	MmuEX0048191	MmuEX0047865
MmuEX0044329	MmuEX0048206	MmuEX0047867
MmuEX0044451	MmuEX0048211	MmuEX0047869
MmuEX0044471	MmuEX0048212	MmuEX0047873
MmuEX0044539	MmuEX0048406	MmuEX0047880
MmuEX0044546	MmuEX0048585	MmuEX0047883
MmuEX0044552	MmuEX0048622	MmuEX0047929
MmuEX0044557	MmuEX0048631	MmuEX0047986
MmuEX0044572	MmuEX0048700	MmuEX0047994
MmuEX0044618	MmuEX0048735	MmuEX0047996
MmuEX0044653	MmuEX0048755	MmuEX0048008
MmuEX0044702	MmuEX0048783	MmuEX0048017
MmuEX0044796	MmuEX0048790	MmuEX0048029
MmuEX0044874	MmuEX0048879	MmuEX0048035
MmuEX0044920	MmuEX0048903	MmuEX0048082
MmuEX0044937	MmuEX0049019	MmuEX0048202
MmuEX0044954	MmuEX0049034	MmuEX0048313
MmuEX0044986	MmuEX0049058	MmuEX0048323
MmuEX0045019	MmuEX0049061	MmuEX0048328
MmuEX0045075	MmuEX0049188	MmuEX0048329
MmuEX0045112	MmuEX0049211	MmuEX0048379
MmuEX0045174	MmuEX0049242	MmuEX0048395
MmuEX0045265	MmuEX0049315	MmuEX0048464
MmuEX0045294	MmuEX0049368	MmuEX0048492
MmuEX0045295	MmuEX0049428	MmuEX0048493
MmuEX0045412	MmuEX0049440	MmuEX0048696
MmuEX0045413	MmuEX0049510	MmuEX0048707
MmuEX0045415	MmuEX0049579	MmuEX0048708
MmuEX0045419	MmuEX0049598	MmuEX0048765
MmuEX0045471	MmuEX0049604	MmuEX0048779
MmuEX0045504	MmuEX0049642	MmuEX0049072
MmuEX0045545	MmuEX0049653	MmuEX0049076
MmuEX0045547	MmuEX0049868	MmuEX0049103
MmuEX0045553	MmuEX0050068	MmuEX0049198
MmuEX0045577	MmuEX0050102	MmuEX0049209
MmuEX0045605	MmuEX0050145	MmuEX0049269
MmuEX0045624	MmuEX0050199	MmuEX0049294
MmuEX0045644	MmuEX0050213	MmuEX0049295
MmuEX0045656	MmuEX0050259	MmuEX0049534
MmuEX0045664	MmuEX0050371	MmuEX0049583
MmuEX0045753	MmuEX0050416	MmuEX0049607
MmuEX0045772	MmuEX0050438	MmuEX0049960
MmuEX0045773	MmuEX0050467	MmuEX0049987
MmuEX0045778	MmuEX0050521	MmuEX0050078
MmuEX0045814	MmuEX0050541	MmuEX0050104
MmuEX0045867	MmuEX0050553	MmuEX0050270
MmuEX0045882	MmuEX0050626	MmuEX0050388
MmuEX0045898	MmuEX0050683	MmuEX0050419
MmuEX0045955	MmuEX0050723	MmuEX0050475
MmuEX0046008	MmuEX0050736	MmuEX0050505
MmuEX0046068	MmuEX0050848	MmuEX0050576
MmuEX0046136	MmuEX0050897	MmuEX0050597
MmuEX0046291	MmuEX0050937	MmuEX0050627
MmuEX0046292	MmuEX0051037	MmuEX0050813
MmuEX0046305	MmuEX0051101	MmuEX0050866
MmuEX0046372	MmuEX0051102	MmuEX0050867
MmuEX0046435	MmuEX0051108	MmuEX0050922
MmuEX0046580	MmuEX0051131	MmuEX0050924
MmuEX0046596	MmuEX0051407	MmuEX0050959
MmuEX0046649	MmuEX0051408	MmuEX0051004
MmuEX0046654	MmuEX0051537	MmuEX0051026
MmuEX0046655	MmuEX0051620	MmuEX0051055
MmuEX0046656	MmuEX0051629	MmuEX0051111
MmuEX0046657	MmuEX0051727	MmuEX0051119
MmuEX0046667	MmuEX0051745	MmuEX0051120
MmuEX0046704	MmuEX0051810	MmuEX0051168
MmuEX0046714	MmuEX0051852	MmuEX0051224
MmuEX0046752	MmuEX0051853	MmuEX0051498
MmuEX0046775	MmuEX0051854	MmuEX0051528
MmuEX0046801	MmuEX0051857	MmuEX0051553
MmuEX0046824	MmuEX0051875	MmuEX0051554
MmuEX0046838	MmuEX0051880	MmuEX0051555
MmuEX0046930	MmuEX0051881	MmuEX0051578
MmuEX0046959	MmuEX0051902	MmuEX0051651
MmuEX0046965	MmuEX0051936	MmuEX0051653
MmuEX0046966	MmuEX0051966	MmuEX0051702
MmuEX0046978	MmuEX0052028	MmuEX0051732
MmuEX0047009	MmuEX0052038	MmuEX0051751
MmuEX0047010	MmuEX0052042	MmuEX0051783
MmuEX0047020	MmuEX0052092	MmuEX0051795
MmuEX0047022	MmuEX0052130	MmuEX0051812
MmuEX0047038	MmuEX0052148	MmuEX0051850
MmuEX0047057	MmuEX0052261	MmuEX0051887
MmuEX0047089	MmuEX0052373	MmuEX0051888
MmuEX0047200	MmuEX0052392	MmuEX0051889
MmuEX0047223	MmuEX0052414	MmuEX0051974
MmuEX0047251	MmuEX0052437	MmuEX0052037
MmuEX0047323	MmuEX0052438	MmuEX0052058
MmuEX0047353	MmuEX0052463	MmuEX0052095
MmuEX0047355	MmuEX0052475	MmuEX0052101
MmuEX0047372	MmuEX0052492	MmuEX0052133
MmuEX0047455	MmuEX0052539	MmuEX0052144
MmuEX0047509	MmuEX0052540	MmuEX0052146
MmuEX0047555	MmuEX0052541	MmuEX0052296
MmuEX0047568	MmuEX0052552	MmuEX0052322
MmuEX0047569	MmuEX0052592	MmuEX0052377
MmuEX0047570	MmuEX0052593	MmuEX0052381
MmuEX0047607	MmuEX0052681	MmuEX0052399
MmuEX0047609	MmuEX0052815	MmuEX0052403
MmuEX0047648	MmuEX0052904	MmuEX0052429
MmuEX0047663	MmuEX0052937	MmuEX0052432
MmuEX0047684	MmuEX0052966	MmuEX0052433
MmuEX0047731	MmuEX0053185	MmuEX0052440
MmuEX0047734	MmuEX0053580	MmuEX0052458
MmuEX0047747	MmuEX0053688	MmuEX0052480
MmuEX0047834	MmuEX0053738	MmuEX0052528
MmuEX0047837	MmuEX0053744	MmuEX0052544
MmuEX0047920	MmuEX0053785	MmuEX0052553
MmuEX0048019	MmuEX0053920	MmuEX0052559
MmuEX0048026	MmuEX0054003	MmuEX0052601
MmuEX0048027	MmuEX0054039	MmuEX0052660
MmuEX0048031	MmuEX0054041	MmuEX0052710
MmuEX0048071	MmuEX0054049	MmuEX0052828
MmuEX0048084	MmuEX1000047	MmuEX0052874
MmuEX0048124	MmuEX1000973	MmuEX0052880
MmuEX0048126	MmuEX1001308	MmuEX0052891
MmuEX0048132	MmuEX1002087	MmuEX0052905
MmuEX0048155	MmuEX1003075	MmuEX0052906
MmuEX0048209	MmuEX1003228	MmuEX0052934
MmuEX0048276	MmuEX1003542	MmuEX0052939
MmuEX0048297	MmuEX1003687	MmuEX0053018
MmuEX0048298	MmuEX1003931	MmuEX0053031
MmuEX0048302	MmuEX1004041	MmuEX0053048
MmuEX0048529	MmuEX1004315	MmuEX0053189
MmuEX0048542	MmuEX1004341	MmuEX0053300
MmuEX0048543	MmuEX1004357	MmuEX0053313
MmuEX0048750	MmuEX1005231	MmuEX0053326
MmuEX0048768	MmuEX1005264	MmuEX0053359
MmuEX0048771	MmuEX1007141	MmuEX0053360
MmuEX0048775	MmuEX1007154	MmuEX0053390
MmuEX0048792	MmuEX1007407	MmuEX0053394
MmuEX0048795	MmuEX1008175	MmuEX0053425
MmuEX0048799	MmuEX1008298	MmuEX0053451
MmuEX0048853	MmuEX1009005	MmuEX0053453
MmuEX0048881	MmuEX1009270	MmuEX0053461
MmuEX0048909	MmuEX1009353	MmuEX0053462
MmuEX0048997	MmuEX1010068	MmuEX0053484
MmuEX0049005	MmuEX1010222	MmuEX0053509
MmuEX0049020	MmuEX1010326	MmuEX0053557
MmuEX0049029	MmuEX1010667	MmuEX0053592
MmuEX0049031	MmuEX1010745	MmuEX0053596
MmuEX0049071	MmuEX1010933	MmuEX0053656
MmuEX0049252	MmuEX1011020	MmuEX0053755
MmuEX0049268	MmuEX1011570	MmuEX0053832
MmuEX0049282	MmuEX1011881	MmuEX0053845
MmuEX0049296	MmuEX1013023	MmuEX0053854
MmuEX0049297	MmuEX1013843	MmuEX0053857
MmuEX0049298	MmuEX1014049	MmuEX0053998
MmuEX0049299	MmuEX1014305	MmuEX0054007
MmuEX0049385	MmuEX1014408	MmuEX0054038
MmuEX0049545	MmuEX1014759	MmuEX0054089
MmuEX0049596	MmuEX1015201	MmuEX0054091
MmuEX0049597	MmuEX1015308	MmuEX0054092
MmuEX0049632	MmuEX1015351	MmuEX1000039
MmuEX0049633	MmuEX1015785	MmuEX1000330
MmuEX0049678	MmuEX1015913	MmuEX1001456
MmuEX0049859	MmuEX1016556	MmuEX1001818
MmuEX0049893	MmuEX1016830	MmuEX1002091
MmuEX0049899	MmuEX1017011	MmuEX1002340
MmuEX0049905	MmuEX1017045	MmuEX1002481
MmuEX0049942	MmuEX1017642	MmuEX1002895
MmuEX0049947	MmuEX1018124	MmuEX1003561
MmuEX0049955	MmuEX1018432	MmuEX1003932
MmuEX0049986	MmuEX1019023	MmuEX1003963
MmuEX0049997	MmuEX1019189	MmuEX1004533
MmuEX0049998	MmuEX1019874	MmuEX1004945
MmuEX0050013	MmuEX1019878	MmuEX1006022
MmuEX0050072	MmuEX1020647	MmuEX1006173
MmuEX0050089	MmuEX1020953	MmuEX1006220
MmuEX0050129	MmuEX1020991	MmuEX1006318
MmuEX0050140	MmuEX1022246	MmuEX1006393
MmuEX0050164	MmuEX1022520	MmuEX1006420
MmuEX0050177	MmuEX1024009	MmuEX1006460
MmuEX0050196	MmuEX1024106	MmuEX1006556
MmuEX0050224	MmuEX1024841	MmuEX1006601
MmuEX0050228	MmuEX1025378	MmuEX1006929
MmuEX0050250	MmuEX1025409	MmuEX1007053
MmuEX0050256	MmuEX1025434	MmuEX1007134
MmuEX0050262	MmuEX1025618	MmuEX1007915
MmuEX0050293	MmuEX1025677	MmuEX1008786
MmuEX0050302	MmuEX1025802	MmuEX1009026
MmuEX0050418	MmuEX1025989	MmuEX1009035
MmuEX0050435	MmuEX1026187	MmuEX1009167
MmuEX0050450	MmuEX1026256	MmuEX1009396
MmuEX0050511	MmuEX1026364	MmuEX1009896
MmuEX0050539	MmuEX1026402	MmuEX1010414
MmuEX0050540	MmuEX1026585	MmuEX1010535
MmuEX0050567	MmuEX1026955	MmuEX1010715
MmuEX0050569	MmuEX1026988	MmuEX1010833
MmuEX0050604	MmuEX1027077	MmuEX1010891
MmuEX0050605	MmuEX1027209	MmuEX1011115
MmuEX0050606	MmuEX1027329	MmuEX1012793
MmuEX0050607	MmuEX1027730	MmuEX1013805
MmuEX0050613	MmuEX1027894	MmuEX1013885
MmuEX0050681	MmuEX1028013	MmuEX1014070
MmuEX0050756	MmuEX1028635	MmuEX1014362
MmuEX0050764	MmuEX1028957	MmuEX1014582
MmuEX0050802	MmuEX1029112	MmuEX1014583
MmuEX0050803	MmuEX1029152	MmuEX1014624
MmuEX0050809	MmuEX6000011	MmuEX1014714
MmuEX0050818	MmuEX6000026	MmuEX1014715
MmuEX0050819	MmuEX6000139	MmuEX1014716
MmuEX0050913	MmuEX6000146	MmuEX1014819
MmuEX0050931	MmuEX6000352	MmuEX1014973
MmuEX0050973	MmuEX6000355	MmuEX1015024
MmuEX0051000	MmuEX6000494	MmuEX1015501
MmuEX0051057	MmuEX6000511	MmuEX1015810
MmuEX0051062	MmuEX6000590	MmuEX1015825
MmuEX0051065	MmuEX6000593	MmuEX1015826
MmuEX0051066	MmuEX6000634	MmuEX1016009
MmuEX0051067	MmuEX6000636	MmuEX1016922
MmuEX0051095	MmuEX6000708	MmuEX1018075
MmuEX0051124	MmuEX6000925	MmuEX1018153
MmuEX0051226	MmuEX6000927	MmuEX1018226
MmuEX0051227	MmuEX6000968	MmuEX1018452
MmuEX0051228	MmuEX6000974	MmuEX1018607
MmuEX0051292	MmuEX6000975	MmuEX1018619
MmuEX0051402	MmuEX6001058	MmuEX1018876
MmuEX0051514	MmuEX6001064	MmuEX1019018
MmuEX0051522	MmuEX6001416	MmuEX1019270
MmuEX0051532	MmuEX6001439	MmuEX1019506
MmuEX0051544	MmuEX6001577	MmuEX1019534
MmuEX0051603	MmuEX6001616	MmuEX1020769
MmuEX0051713	MmuEX6001617	MmuEX1020837
MmuEX0051764	MmuEX6001907	MmuEX1020999
MmuEX0051834	MmuEX6001972	MmuEX1021189
MmuEX0051856	MmuEX6001974	MmuEX1022200
MmuEX0051877	MmuEX6002099	MmuEX1023137
MmuEX0051882	MmuEX6002103	MmuEX1023848
MmuEX0051898	MmuEX6002192	MmuEX1024361
MmuEX0052014	MmuEX6002194	MmuEX1024362
MmuEX0052036	MmuEX6002196	MmuEX1024413
MmuEX0052102	MmuEX6002347	MmuEX1024562
MmuEX0052193	MmuEX6002380	MmuEX1024722
MmuEX0052249	MmuEX6002724	MmuEX1024756
MmuEX0052280	MmuEX6002874	MmuEX1024876
MmuEX0052297	MmuEX6002935	MmuEX1024909
MmuEX0052324	MmuEX6002946	MmuEX1025018
MmuEX0052358	MmuEX6002978	MmuEX1025125
MmuEX0052364	MmuEX6003245	MmuEX1025366
MmuEX0052365	MmuEX6003246	MmuEX1025480
MmuEX0052393	MmuEX6003267	MmuEX1025619
MmuEX0052434	MmuEX6003270	MmuEX1025707
MmuEX0052435	MmuEX6003473	MmuEX1025764
MmuEX0052470	MmuEX6003476	MmuEX1026510
MmuEX0052551	MmuEX6003509	MmuEX1026511
MmuEX0052560	MmuEX6003564	MmuEX1026853
MmuEX0052637	MmuEX6003607	MmuEX1026982
MmuEX0052638	MmuEX6003856	MmuEX1026995
MmuEX0052699	MmuEX6003862	MmuEX1026996
MmuEX0052724	MmuEX6003881	MmuEX1026997
MmuEX0052783	MmuEX6003978	MmuEX1027448
MmuEX0052811	MmuEX6004134	MmuEX1027475
MmuEX0052842	MmuEX6004152	MmuEX1027849
MmuEX0052854	MmuEX6004318	MmuEX1028252
MmuEX0052858	MmuEX6004466	MmuEX1028738
MmuEX0052859	MmuEX6004685	MmuEX1029195
MmuEX0052929	MmuEX6004790	MmuEX1029260
MmuEX0052962	MmuEX6005104	MmuEX6000081
MmuEX0052970	MmuEX6005154	MmuEX6000157
MmuEX0053145	MmuEX6005206	MmuEX6000158
MmuEX0053187	MmuEX6005394	MmuEX6000161
MmuEX0053220	MmuEX6005452	MmuEX6000348
MmuEX0053264	MmuEX6005618	MmuEX6000402
MmuEX0053308	MmuEX6005626	MmuEX6000552
MmuEX0053387	MmuEX6005821	MmuEX6000597
MmuEX0053393	MmuEX6005991	MmuEX6000660
MmuEX0053478	MmuEX6006267	MmuEX6000663
MmuEX0053492	MmuEX6006312	MmuEX6000699
MmuEX0053533	MmuEX6006347	MmuEX6000704
MmuEX0053560	MmuEX6006353	MmuEX6000710
MmuEX0053636	MmuEX6006397	MmuEX6000766
MmuEX0053671	MmuEX6006467	MmuEX6000832
MmuEX0053679	MmuEX6006977	MmuEX6001270
MmuEX0053697	MmuEX6007099	MmuEX6001304
MmuEX0053718	MmuEX6007147	MmuEX6001402
MmuEX0053724	MmuEX6007168	MmuEX6001403
MmuEX0053762	MmuEX6007170	MmuEX6001554
MmuEX0053774	MmuEX6007436	MmuEX6001567
MmuEX0053890	MmuEX6007438	MmuEX6001608
MmuEX0053955	MmuEX6007439	MmuEX6001609
MmuEX0053956	MmuEX6007454	MmuEX6001610
MmuEX0053957	MmuEX6007619	MmuEX6001800
MmuEX0053990	MmuEX6007877	MmuEX6002330
MmuEX0053996	MmuEX6007933	MmuEX6002332
MmuEX0053997	MmuEX6008029	MmuEX6002344
MmuEX0054035	MmuEX6008030	MmuEX6002393
MmuEX0054036	MmuEX6008044	MmuEX6002512
MmuEX0054042	MmuEX6008061	MmuEX6002520
MmuEX0054043	MmuEX6008236	MmuEX6002723
MmuEX0054053	MmuEX6008577	MmuEX6002757
MmuEX0054067	MmuEX6009017	MmuEX6002878
MmuEX0054077	MmuEX6009034	MmuEX6003273
MmuEX0054100	MmuEX6009045	MmuEX6003282
MmuEX1000099	MmuEX6009128	MmuEX6003469
MmuEX1000440	MmuEX6009176	MmuEX6003552
MmuEX1000449	MmuEX6009259	MmuEX6003595
MmuEX1000721	MmuEX6009375	MmuEX6003752
MmuEX1001545	MmuEX6009402	MmuEX6003861
MmuEX1001884	MmuEX6010096	MmuEX6003887
MmuEX1002249	MmuEX6010308	MmuEX6003909
MmuEX1002684	MmuEX6010531	MmuEX6003910
MmuEX1002696	MmuEX6010629	MmuEX6003987
MmuEX1002748	MmuEX6010632	MmuEX6004109
MmuEX1002829	MmuEX6010763	MmuEX6004132
MmuEX1002830	MmuEX6011102	MmuEX6004141
MmuEX1003556	MmuEX6011103	MmuEX6004143
MmuEX1003644	MmuEX6011104	MmuEX6004144
MmuEX1004201	MmuEX6011139	MmuEX6004401
MmuEX1004313	MmuEX6011607	MmuEX6004788
MmuEX1004609	MmuEX6011998	MmuEX6004863
MmuEX1004646	MmuEX6012363	MmuEX6004902
MmuEX1004795	MmuEX6012463	MmuEX6005101
MmuEX1005207	MmuEX6012528	MmuEX6005133
MmuEX1005452	MmuEX6012578	MmuEX6005336
MmuEX1005455	MmuEX6012579	MmuEX6005337
MmuEX1005787	MmuEX6012638	MmuEX6005339
MmuEX1006116	MmuEX6012791	MmuEX6005363
MmuEX1006260	MmuEX6012999	MmuEX6005369
MmuEX1006500	MmuEX6013127	MmuEX6005457
MmuEX1007289	MmuEX6013135	MmuEX6005471
MmuEX1007381	MmuEX6013137	MmuEX6005674
MmuEX1007577	MmuEX6013147	MmuEX6005758
MmuEX1007812	MmuEX6013182	MmuEX6005773
MmuEX1008131	MmuEX6013204	MmuEX6005817
MmuEX1008269	MmuEX6013305	MmuEX6005837
MmuEX1009112	MmuEX6013506	MmuEX6005891
MmuEX1009228	MmuEX6013515	MmuEX6005945
MmuEX1010057	MmuEX6013520	MmuEX6005971
MmuEX1010138	MmuEX6013529	MmuEX6005974
MmuEX1010612	MmuEX6013769	MmuEX6006042
MmuEX1010789	MmuEX6013779	MmuEX6006185
MmuEX1010913	MmuEX6013802	MmuEX6006315
MmuEX1010995	MmuEX6013838	MmuEX6006390
MmuEX1011079	MmuEX6014045	MmuEX6006606
MmuEX1011117	MmuEX6014070	MmuEX6006892
MmuEX1011646	MmuEX6014145	MmuEX6006942
MmuEX1011781	MmuEX6014279	MmuEX6007550
MmuEX1011827	MmuEX6014363	MmuEX6007558
MmuEX1011838	MmuEX6014413	MmuEX6007642
MmuEX1011970	MmuEX6014550	MmuEX6007709
MmuEX1011979	MmuEX6014690	MmuEX6007710
MmuEX1012140	MmuEX6014741	MmuEX6007711
MmuEX1012845	MmuEX6014789	MmuEX6007853
MmuEX1013362	MmuEX6014790	MmuEX6007867
MmuEX1013663	MmuEX6014798	MmuEX6007959
MmuEX1013664	MmuEX6014915	MmuEX6007975
MmuEX1013824	MmuEX6014916	MmuEX6007976
MmuEX1013826	MmuEX6014917	MmuEX6008027
MmuEX1013857	MmuEX6015026	MmuEX6008501
MmuEX1014128	MmuEX6015027	MmuEX6008550
MmuEX1014458	MmuEX6015259	MmuEX6008575
MmuEX1015157	MmuEX6015280	MmuEX6008939
MmuEX1015196	MmuEX6015494	MmuEX6009372
MmuEX1015291	MmuEX6015548	MmuEX6009407
MmuEX1015624	MmuEX6015549	MmuEX6009456
MmuEX1015839	MmuEX6015623	MmuEX6009477
MmuEX1016015	MmuEX6015854	MmuEX6009489
MmuEX1016118	MmuEX6015866	MmuEX6010014
MmuEX1016565	MmuEX6016043	MmuEX6010344
MmuEX1016720	MmuEX6016119	MmuEX6010432
MmuEX1016773	MmuEX6016124	MmuEX6010455
MmuEX1017055	MmuEX6016172	MmuEX6010639
MmuEX1017057	MmuEX6016223	MmuEX6010640
MmuEX1017058	MmuEX6016453	MmuEX6010812
MmuEX1017086	MmuEX6016538	MmuEX6010814
MmuEX1017215	MmuEX6016557	MmuEX6011529
MmuEX1017326	MmuEX6017250	MmuEX6011671
MmuEX1017344	MmuEX6017398	MmuEX6012046
MmuEX1017379	MmuEX6017546	MmuEX6012144
MmuEX1017727	MmuEX6017549	MmuEX6012192
MmuEX1017861	MmuEX6017608	MmuEX6012251
MmuEX1017998	MmuEX6017617	MmuEX6012269
MmuEX1018082	MmuEX6017661	MmuEX6012699
MmuEX1018480	MmuEX6017813	MmuEX6012700
MmuEX1018561	MmuEX6017920	MmuEX6012757
MmuEX1018562	MmuEX6017921	MmuEX6012812
MmuEX1018604	MmuEX6017959	MmuEX6012975
MmuEX1018661	MmuEX6017972	MmuEX6013091
