C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX1018665	MmuEX6018084	MmuEX6013224
MmuEX1018727	MmuEX6018107	MmuEX6013282
MmuEX1018729	MmuEX6018165	MmuEX6013295
MmuEX1018730	MmuEX6018173	MmuEX6013306
MmuEX1018750	MmuEX6018346	MmuEX6013402
MmuEX1019084	MmuEX6018721	MmuEX6013477
MmuEX1019122	MmuEX6018795	MmuEX6013845
MmuEX1019373	MmuEX6018849	MmuEX6014143
MmuEX1019490	MmuEX6018865	MmuEX6014415
MmuEX1019593	MmuEX6018908	MmuEX6014416
MmuEX1019810	MmuEX6019075	MmuEX6014419
MmuEX1019934	MmuEX6019363	MmuEX6014719
MmuEX1020588	MmuEX6019370	MmuEX6014733
MmuEX1020954	MmuEX6019503	MmuEX6015267
MmuEX1021046	MmuEX6019541	MmuEX6015607
MmuEX1021121	MmuEX6019591	MmuEX6015711
MmuEX1021333	MmuEX6019793	MmuEX6016027
MmuEX1021906	MmuEX6019795	MmuEX6016044
MmuEX1021971	MmuEX6019837	MmuEX6016579
MmuEX1022466	MmuEX6019864	MmuEX6016641
MmuEX1022477	MmuEX6020231	MmuEX6016650
MmuEX1022834	MmuEX6020290	MmuEX6016669
MmuEX1022840	MmuEX6020663	MmuEX6016694
MmuEX1023239	MmuEX6020679	MmuEX6016701
MmuEX1023501	MmuEX6020685	MmuEX6016759
MmuEX1023567	MmuEX6020815	MmuEX6016764
MmuEX1023568	MmuEX6020824	MmuEX6016857
MmuEX1023577	MmuEX6020894	MmuEX6016870
MmuEX1023723	MmuEX6021106	MmuEX6016872
MmuEX1023965	MmuEX6021198	MmuEX6017046
MmuEX1024025	MmuEX6021212	MmuEX6017072
MmuEX1024147	MmuEX6021230	MmuEX6017085
MmuEX1024355	MmuEX6021420	MmuEX6017116
MmuEX1024461	MmuEX6021422	MmuEX6017147
MmuEX1024563	MmuEX6021596	MmuEX6017537
MmuEX1025367	MmuEX6021598	MmuEX6017564
MmuEX1025715	MmuEX6021611	MmuEX6017624
MmuEX1026129	MmuEX6021635	MmuEX6017627
MmuEX1026145	MmuEX6021644	MmuEX6017660
MmuEX1026484	MmuEX6021929	MmuEX6017673
MmuEX1026593	MmuEX6021948	MmuEX6017676
MmuEX1026904	MmuEX6021949	MmuEX6017805
MmuEX1026908	MmuEX6021987	MmuEX6018140
MmuEX1026994	MmuEX6022030	MmuEX6018210
MmuEX1027247	MmuEX6022351	MmuEX6018212
MmuEX1027727	MmuEX6022383	MmuEX6018348
MmuEX1028171	MmuEX6022557	MmuEX6018349
MmuEX1028386	MmuEX6022572	MmuEX6018426
MmuEX1028534	MmuEX6022840	MmuEX6018427
MmuEX1028790	MmuEX6022869	MmuEX6018834
MmuEX1028851	MmuEX6023380	MmuEX6018884
MmuEX1028855	MmuEX6023424	MmuEX6018944
MmuEX1028856	MmuEX6023645	MmuEX6019211
MmuEX1029026	MmuEX6023908	MmuEX6019494
MmuEX1029119	MmuEX6023954	MmuEX6019555
MmuEX1029134	MmuEX6023957	MmuEX6019602
MmuEX6000063	MmuEX6024177	MmuEX6019607
MmuEX6000064	MmuEX6024232	MmuEX6019868
MmuEX6000090	MmuEX6024233	MmuEX6019935
MmuEX6000099	MmuEX6024316	MmuEX6019936
MmuEX6000140	MmuEX6024340	MmuEX6020128
MmuEX6000177	MmuEX6024517	MmuEX6020154
MmuEX6000178	MmuEX6024996	MmuEX6020296
MmuEX6000500	MmuEX6025185	MmuEX6020469
MmuEX6000521	MmuEX6025195	MmuEX6020559
MmuEX6000815	MmuEX6025267	MmuEX6020686
MmuEX6000837	MmuEX6025277	MmuEX6020688
MmuEX6000902	MmuEX6025284	MmuEX6020834
MmuEX6000947	MmuEX6025647	MmuEX6020863
MmuEX6000964	MmuEX6025674	MmuEX6021015
MmuEX6001226	MmuEX6025890	MmuEX6021222
MmuEX6001538	MmuEX6025954	MmuEX6021301
MmuEX6001543	MmuEX6025979	MmuEX6021364
MmuEX6001570	MmuEX6026181	MmuEX6021519
MmuEX6001619	MmuEX6026587	MmuEX6021554
MmuEX6001908	MmuEX6026699	MmuEX6021630
MmuEX6002059	MmuEX6026841	MmuEX6021765
MmuEX6002112	MmuEX6026865	MmuEX6021966
MmuEX6002199	MmuEX6026892	MmuEX6022349
MmuEX6002291	MmuEX6027061	MmuEX6022448
MmuEX6002334	MmuEX6027228	MmuEX6022524
MmuEX6002338	MmuEX6027618	MmuEX6022573
MmuEX6002345	MmuEX6027650	MmuEX6022632
MmuEX6002353	MmuEX6028041	MmuEX6022667
MmuEX6002382	MmuEX6028398	MmuEX6022715
MmuEX6002441	MmuEX6028466	MmuEX6022778
MmuEX6002442	MmuEX6028562	MmuEX6022969
MmuEX6002506	MmuEX6028698	MmuEX6023121
MmuEX6002692	MmuEX6028889	MmuEX6023406
MmuEX6003229	MmuEX6029007	MmuEX6023578
MmuEX6003231	MmuEX6029051	MmuEX6023656
MmuEX6003410	MmuEX6029090	MmuEX6023814
MmuEX6003548	MmuEX6029156	MmuEX6024148
MmuEX6003585	MmuEX6029180	MmuEX6024154
MmuEX6003846	MmuEX6029439	MmuEX6024319
MmuEX6004131	MmuEX6029538	MmuEX6024335
MmuEX6004377	MmuEX6029539	MmuEX6024524
MmuEX6004379	MmuEX6029541	MmuEX6024641
MmuEX6004390	MmuEX6029648	MmuEX6024713
MmuEX6004405	MmuEX6029652	MmuEX6024726
MmuEX6004426	MmuEX6029701	MmuEX6025184
MmuEX6004463	MmuEX6029845	MmuEX6025187
MmuEX6004536	MmuEX6029940	MmuEX6025189
MmuEX6004744	MmuEX6030025	MmuEX6025205
MmuEX6004773	MmuEX6030055	MmuEX6025438
MmuEX6005079	MmuEX6030100	MmuEX6025443
MmuEX6005136	MmuEX6030501	MmuEX6025632
MmuEX6005463	MmuEX6030714	MmuEX6025644
MmuEX6005475	MmuEX6030715	MmuEX6025728
MmuEX6005819	MmuEX6030747	MmuEX6025859
MmuEX6006038	MmuEX6030760	MmuEX6025906
MmuEX6006064	MmuEX6030763	MmuEX6025940
MmuEX6006206	MmuEX6030863	MmuEX6026222
MmuEX6006308	MmuEX6030902	MmuEX6026223
MmuEX6006319	MmuEX6030941	MmuEX6026243
MmuEX6006320	MmuEX6030955	MmuEX6026262
MmuEX6006424	MmuEX6031099	MmuEX6026501
MmuEX6006425	MmuEX6031163	MmuEX6026599
MmuEX6006426	MmuEX6031168	MmuEX6026634
MmuEX6006656	MmuEX6031697	MmuEX6026635
MmuEX6006657	MmuEX6031771	MmuEX6026650
MmuEX6006688	MmuEX6031872	MmuEX6026712
MmuEX6006704	MmuEX6032139	MmuEX6026763
MmuEX6006865	MmuEX6032309	MmuEX6026975
MmuEX6006927	MmuEX6032495	MmuEX6027143
MmuEX6007103	MmuEX6032529	MmuEX6027147
MmuEX6007169	MmuEX6032540	MmuEX6027285
MmuEX6007199	MmuEX6032647	MmuEX6027312
MmuEX6007452	MmuEX6032697	MmuEX6027409
MmuEX6007480	MmuEX6032713	MmuEX6027699
MmuEX6007562	MmuEX6032756	MmuEX6027795
MmuEX6007696	MmuEX6032886	MmuEX6027816
MmuEX6007876	MmuEX6032905	MmuEX6027880
MmuEX6007888	MmuEX6033088	MmuEX6028155
MmuEX6007954	MmuEX6033091	MmuEX6028216
MmuEX6008012	MmuEX6033190	MmuEX6028239
MmuEX6008013	MmuEX6033212	MmuEX6028526
MmuEX6008046	MmuEX6033387	MmuEX6028640
MmuEX6008429	MmuEX6033389	MmuEX6028669
MmuEX6008449	MmuEX6033420	MmuEX6028689
MmuEX6008452	MmuEX6033683	MmuEX6028690
MmuEX6008931	MmuEX6033790	MmuEX6028959
MmuEX6008966	MmuEX6033817	MmuEX6028962
MmuEX6008975	MmuEX6033834	MmuEX6029039
MmuEX6009050	MmuEX6033917	MmuEX6029206
MmuEX6009405	MmuEX6034017	MmuEX6029424
MmuEX6009530	MmuEX6034086	MmuEX6029436
MmuEX6010013	MmuEX6034140	MmuEX6029485
MmuEX6010023	MmuEX6034381	MmuEX6029487
MmuEX6010060	MmuEX6034441	MmuEX6029532
MmuEX6010066	MmuEX6034481	MmuEX6029768
MmuEX6010067	MmuEX6034511	MmuEX6029843
MmuEX6010069	MmuEX6034529	MmuEX6029865
MmuEX6010155	MmuEX6034582	MmuEX6029920
MmuEX6010530	MmuEX6034721	MmuEX6029976
MmuEX6010652	MmuEX6034855	MmuEX6029977
MmuEX6010823	MmuEX6034861	MmuEX6030023
MmuEX6011350	MmuEX6034920	MmuEX6030057
MmuEX6011381	MmuEX6035355	MmuEX6030082
MmuEX6011496	MmuEX6035391	MmuEX6030339
MmuEX6011790	MmuEX6035419	MmuEX6030421
MmuEX6011806	MmuEX6035466	MmuEX6030700
MmuEX6011892	MmuEX6035572	MmuEX6030829
MmuEX6011978	MmuEX6035581	MmuEX6030834
MmuEX6012270	MmuEX6035602	MmuEX6030854
MmuEX6012332	MmuEX6035798	MmuEX6030859
MmuEX6012458	MmuEX6035817	MmuEX6030860
MmuEX6012464	MmuEX6035824	MmuEX6030886
MmuEX6012640	MmuEX6035871	MmuEX6031148
MmuEX6012642	MmuEX6036112	MmuEX6031187
MmuEX6012644	MmuEX6036117	MmuEX6031210
MmuEX6012705	MmuEX6036120	MmuEX6031292
MmuEX6012797	MmuEX6036296	MmuEX6031483
MmuEX6012897	MmuEX6036435	MmuEX6031670
MmuEX6013211	MmuEX6036453	MmuEX6031843
MmuEX6013298	MmuEX6036589	MmuEX6031956
MmuEX6013501	MmuEX6036772	MmuEX6032131
MmuEX6013519	MmuEX6036920	MmuEX6032134
MmuEX6013534	MmuEX6036924	MmuEX6032135
MmuEX6013678	MmuEX6036975	MmuEX6032142
MmuEX6013941	MmuEX6037446	MmuEX6032192
MmuEX6013994	MmuEX6037607	MmuEX6032224
MmuEX6014058	MmuEX6037636	MmuEX6032442
MmuEX6014142	MmuEX6037644	MmuEX6032455
MmuEX6014282	MmuEX6037661	MmuEX6032485
MmuEX6014412	MmuEX6038014	MmuEX6032491
MmuEX6014579	MmuEX6038167	MmuEX6032548
MmuEX6014612	MmuEX6038234	MmuEX6032724
MmuEX6014687	MmuEX6038240	MmuEX6032980
MmuEX6014721	MmuEX6038488	MmuEX6033252
MmuEX6014771	MmuEX6038495	MmuEX6033406
MmuEX6015007	MmuEX6038510	MmuEX6033828
MmuEX6015063	MmuEX6038540	MmuEX6033864
MmuEX6015620	MmuEX6038634	MmuEX6033871
MmuEX6015687	MmuEX6038635	MmuEX6033913
MmuEX6015883	MmuEX6038718	MmuEX6033966
MmuEX6015884	MmuEX6038723	MmuEX6034073
MmuEX6015885	MmuEX6038914	MmuEX6034090
MmuEX6015925	MmuEX6038938	MmuEX6034100
MmuEX6016053	MmuEX6038939	MmuEX6034255
MmuEX6016226	MmuEX6038940	MmuEX6034494
MmuEX6016227	MmuEX6038941	MmuEX6034497
MmuEX6016228	MmuEX6038942	MmuEX6034499
MmuEX6016229	MmuEX6039256	MmuEX6034513
MmuEX6016328	MmuEX6039497	MmuEX6034823
MmuEX6016345	MmuEX6039511	MmuEX6034862
MmuEX6016393	MmuEX6039515	MmuEX6034996
MmuEX6016413	MmuEX6039585	MmuEX6034997
MmuEX6016483	MmuEX6039704	MmuEX6035002
MmuEX6016484	MmuEX6039779	MmuEX6035003
MmuEX6016673	MmuEX6039809	MmuEX6035040
MmuEX6016682	MmuEX6039921	MmuEX6035095
MmuEX6016740	MmuEX6039991	MmuEX6035166
MmuEX6016781	MmuEX6040153	MmuEX6035299
MmuEX6017030	MmuEX6040171	MmuEX6035305
MmuEX6017031	MmuEX6040222	MmuEX6035352
MmuEX6017091	MmuEX6040232	MmuEX6035588
MmuEX6017097	MmuEX6040329	MmuEX6035693
MmuEX6017185	MmuEX6040389	MmuEX6035711
MmuEX6017221	MmuEX6040497	MmuEX6036097
MmuEX6017336	MmuEX6040586	MmuEX6036160
MmuEX6017638	MmuEX6040642	MmuEX6036181
MmuEX6017639	MmuEX6040643	MmuEX6036264
MmuEX6017667	MmuEX6040830	MmuEX6036443
MmuEX6017721	MmuEX6040876	MmuEX6036468
MmuEX6017758	MmuEX6040877	MmuEX6036475
MmuEX6017899	MmuEX6040984	MmuEX6036501
MmuEX6018170	MmuEX6041041	MmuEX6036518
MmuEX6018767	MmuEX6041106	MmuEX6036527
MmuEX6018768	MmuEX6041718	MmuEX6036601
MmuEX6018806	MmuEX6041729	MmuEX6036779
MmuEX6018892	MmuEX6042094	MmuEX6036839
MmuEX6018996	MmuEX6042640	MmuEX6036912
MmuEX6019032	MmuEX6042668	MmuEX6037069
MmuEX6019045	MmuEX6042701	MmuEX6037251
MmuEX6019053	MmuEX6042710	MmuEX6037254
MmuEX6019067	MmuEX6042712	MmuEX6037443
MmuEX6019224	MmuEX6042798	MmuEX6037460
MmuEX6019345	MmuEX6042872	MmuEX6037504
MmuEX6019371	MmuEX6042874	MmuEX6037505
MmuEX6019535	MmuEX6042938	MmuEX6037524
MmuEX6019565	MmuEX6043191	MmuEX6037585
MmuEX6019586	MmuEX6043195	MmuEX6037742
MmuEX6019832	MmuEX6043199	MmuEX6038220
MmuEX6019867	MmuEX6043226	MmuEX6038239
MmuEX6019871	MmuEX6043264	MmuEX6038313
MmuEX6020063	MmuEX6043513	MmuEX6038347
MmuEX6020064	MmuEX6043546	MmuEX6038462
MmuEX6020189	MmuEX6043644	MmuEX6038633
MmuEX6020216	MmuEX6044548	MmuEX6038643
MmuEX6020289	MmuEX6044552	MmuEX6038815
MmuEX6020560	MmuEX6044553	MmuEX6038841
MmuEX6020574	MmuEX6044609	MmuEX6038966
MmuEX6020590	MmuEX6044650	MmuEX6038972
MmuEX6020606	MmuEX6044707	MmuEX6038982
MmuEX6020675	MmuEX6044882	MmuEX6039212
MmuEX6020683	MmuEX6044951	MmuEX6039248
MmuEX6020772	MmuEX6044964	MmuEX6039364
MmuEX6020818	MmuEX6045251	MmuEX6039439
MmuEX6020919	MmuEX6045268	MmuEX6039734
MmuEX6020955	MmuEX6045314	MmuEX6039803
MmuEX6021003	MmuEX6045324	MmuEX6039810
MmuEX6021009	MmuEX6045564	MmuEX6039825
MmuEX6021012	MmuEX6045631	MmuEX6039844
MmuEX6021021	MmuEX6045871	MmuEX6039930
MmuEX6021149	MmuEX6045903	MmuEX6040090
MmuEX6021188	MmuEX6045905	MmuEX6040213
MmuEX6021532	MmuEX6046286	MmuEX6040285
MmuEX6021558	MmuEX6046413	MmuEX6040641
MmuEX6021679	MmuEX6046524	MmuEX6040900
MmuEX6021951	MmuEX6046660	MmuEX6040912
MmuEX6022371	MmuEX6046771	MmuEX6041377
MmuEX6022387	MmuEX6047437	MmuEX6041733
MmuEX6022388	MmuEX6047512	MmuEX6041866
MmuEX6022392	MmuEX6047513	MmuEX6041868
MmuEX6022393	MmuEX6047550	MmuEX6041902
MmuEX6022427	MmuEX6047976	MmuEX6042039
MmuEX6022490	MmuEX6047988	MmuEX6042308
MmuEX6022534	MmuEX6048025	MmuEX6042659
MmuEX6022547	MmuEX6048144	MmuEX6042739
MmuEX6022574	MmuEX6048185	MmuEX6042740
MmuEX6022671	MmuEX6048213	MmuEX6042867
MmuEX6022704	MmuEX6048216	MmuEX6042868
MmuEX6022943	MmuEX6048352	MmuEX6043033
MmuEX6023068	MmuEX6048438	MmuEX6043049
MmuEX6023069	MmuEX6048498	MmuEX6043062
MmuEX6023120	MmuEX6048515	MmuEX6043091
MmuEX6023138	MmuEX6048528	MmuEX6043124
MmuEX6023432	MmuEX6048665	MmuEX6043271
MmuEX6023438	MmuEX6048765	MmuEX6043281
MmuEX6023520	MmuEX6048973	MmuEX6043283
MmuEX6023637	MmuEX6048996	MmuEX6043284
MmuEX6023910	MmuEX6048998	MmuEX6043287
MmuEX6023927	MmuEX6049029	MmuEX6043819
MmuEX6023946	MmuEX6049097	MmuEX6043825
MmuEX6023959	MmuEX6049101	MmuEX6043860
MmuEX6024267	MmuEX6049314	MmuEX6043979
MmuEX6024381	MmuEX6049315	MmuEX6044354
MmuEX6024655	MmuEX6049466	MmuEX6044360
MmuEX6024669	MmuEX6049488	MmuEX6044502
MmuEX6024779	MmuEX6049565	MmuEX6044547
MmuEX6024852	MmuEX6049655	MmuEX6044800
MmuEX6025183	MmuEX6049791	MmuEX6044811
MmuEX6025288	MmuEX6050128	MmuEX6044902
MmuEX6025334	MmuEX6050301	MmuEX6044950
MmuEX6025472	MmuEX6050381	MmuEX6045000
MmuEX6025646	MmuEX6050396	MmuEX6045422
MmuEX6025654	MmuEX6050399	MmuEX6045549
MmuEX6025862	MmuEX6050403	MmuEX6045913
MmuEX6025875	MmuEX6050588	MmuEX6046652
MmuEX6025876	MmuEX6050643	MmuEX6046779
MmuEX6025929	MmuEX6050684	MmuEX6046805
MmuEX6026092	MmuEX6050716	MmuEX6046843
MmuEX6026102	MmuEX6050880	MmuEX6046850
MmuEX6026234	MmuEX6050882	MmuEX6046928
MmuEX6026236	MmuEX6051257	MmuEX6046957
MmuEX6026241	MmuEX6051534	MmuEX6046976
MmuEX6026298	MmuEX6051539	MmuEX6046977
MmuEX6026300	MmuEX6051550	MmuEX6047129
MmuEX6026357	MmuEX6051551	MmuEX6047423
MmuEX6026525	MmuEX6051556	MmuEX6047542
MmuEX6026536	MmuEX6051557	MmuEX6047777
MmuEX6026586	MmuEX6051558	MmuEX6047987
MmuEX6026633	MmuEX6051608	MmuEX6048193
MmuEX6026948	MmuEX6051664	MmuEX6048210
MmuEX6027068	MmuEX6051696	MmuEX6048500
MmuEX6027072	MmuEX6051702	MmuEX6048516
MmuEX6027090	MmuEX6051818	MmuEX6048745
MmuEX6027127	MmuEX6051849	MmuEX6048780
MmuEX6027132	MmuEX6051932	MmuEX6048823
MmuEX6027134	MmuEX6052082	MmuEX6048886
MmuEX6027225	MmuEX6052156	MmuEX6048972
MmuEX6027394	MmuEX6052216	MmuEX6049087
MmuEX6027415	MmuEX6052217	MmuEX6049358
MmuEX6027534	MmuEX6052218	MmuEX6049380
MmuEX6027897	MmuEX6052219	MmuEX6049386
MmuEX6028152	MmuEX6052376	MmuEX6049503
MmuEX6028153	MmuEX6052569	MmuEX6049822
MmuEX6028157	MmuEX6053020	MmuEX6049898
MmuEX6028206	MmuEX6053082	MmuEX6049899
MmuEX6028491	MmuEX6053124	MmuEX6049900
MmuEX6028619	MmuEX6053261	MmuEX6049940
MmuEX6028792	MmuEX6053289	MmuEX6050028
MmuEX6028793	MmuEX6053295	MmuEX6050223
MmuEX6028808	MmuEX6053363	MmuEX6050224
MmuEX6028861	MmuEX6053417	MmuEX6050330
MmuEX6029030	MmuEX6053820	MmuEX6050406
MmuEX6029092	MmuEX6053872	MmuEX6050570
MmuEX6029160	MmuEX6054303	MmuEX6050601
MmuEX6029227	MmuEX6054529	MmuEX6050645
MmuEX6029253	MmuEX6054644	MmuEX6050868
MmuEX6029257	MmuEX6054903	MmuEX6050921
MmuEX6029267	MmuEX6054904	MmuEX6050968
MmuEX6029304	MmuEX6054933	MmuEX6051282
MmuEX6029341	MmuEX6055063	MmuEX6051472
MmuEX6029432	MmuEX6055067	MmuEX6051566
MmuEX6029654	MmuEX6055069	MmuEX6051647
MmuEX6029671	MmuEX6055070	MmuEX6051709
MmuEX6029710	MmuEX6055195	MmuEX6051886
MmuEX6029772	MmuEX6055258	MmuEX6051916
MmuEX6029782	MmuEX6055270	MmuEX6052014
MmuEX6029784	MmuEX6055352	MmuEX6052032
MmuEX6029842	MmuEX6055378	MmuEX6052322
MmuEX6029861	MmuEX6055379	MmuEX6052323
MmuEX6029864	MmuEX6055466	MmuEX6052457
MmuEX6030079	MmuEX6055467	MmuEX6052514
MmuEX6030276	MmuEX6056046	MmuEX6052744
MmuEX6030284	MmuEX6056395	MmuEX6052829
MmuEX6030394	MmuEX6056513	MmuEX6052865
MmuEX6030640	MmuEX6056554	MmuEX6053157
MmuEX6030661	MmuEX6056796	MmuEX6053187
MmuEX6030687	MmuEX6056886	MmuEX6053346
MmuEX6030689	MmuEX6056892	MmuEX6053413
MmuEX6030734	MmuEX6056980	MmuEX6053545
MmuEX6030849	MmuEX6057080	MmuEX6053632
MmuEX6030904	MmuEX6057113	MmuEX6054134
MmuEX6030940	MmuEX6057280	MmuEX6054140
MmuEX6031246	MmuEX6057295	MmuEX6054886
MmuEX6031282	MmuEX6057659	MmuEX6054960
MmuEX6031405	MmuEX6057705	MmuEX6054961
MmuEX6031518	MmuEX6057909	MmuEX6055036
MmuEX6031595	MmuEX6057928	MmuEX6055064
MmuEX6031752	MmuEX6057937	MmuEX6055078
MmuEX6031814	MmuEX6057939	MmuEX6055246
MmuEX6031837	MmuEX6058036	MmuEX6055335
MmuEX6032036	MmuEX6058124	MmuEX6055455
MmuEX6032180	MmuEX6058141	MmuEX6055942
MmuEX6032515	MmuEX6058225	MmuEX6056281
MmuEX6032672	MmuEX6058284	MmuEX6056439
MmuEX6032677	MmuEX6058289	MmuEX6056499
MmuEX6032725	MmuEX6058353	MmuEX6056534
MmuEX6032739	MmuEX6058355	MmuEX6056563
MmuEX6032908	MmuEX6058680	MmuEX6056571
MmuEX6032909	MmuEX6058690	MmuEX6056631
MmuEX6033188	MmuEX6058717	MmuEX6057030
MmuEX6033346	MmuEX6058718	MmuEX6057089
MmuEX6033353	MmuEX6058748	MmuEX6057090
MmuEX6033776	MmuEX6058805	MmuEX6057324
MmuEX6033814	MmuEX6058933	MmuEX6057782
MmuEX6033855	MmuEX6058942	MmuEX6057969
MmuEX6033985	MmuEX6059001	MmuEX6058000
MmuEX6033989	MmuEX6059029	MmuEX6058001
MmuEX6034007	MmuEX6059044	MmuEX6058117
MmuEX6034078	MmuEX6059111	MmuEX6058129
MmuEX6034098	MmuEX6059263	MmuEX6058172
MmuEX6034103	MmuEX6059398	MmuEX6058282
MmuEX6034241	MmuEX6059608	MmuEX6058330
MmuEX6034242	MmuEX6059609	MmuEX6058394
MmuEX6034252	MmuEX6059612	MmuEX6058462
MmuEX6034327	MmuEX6059713	MmuEX6058463
MmuEX6034450	MmuEX6059756	MmuEX6058535
MmuEX6034492	MmuEX6059825	MmuEX6058552
MmuEX6034545	MmuEX6059956	MmuEX6058807
MmuEX6034822	MmuEX6059991	MmuEX6058844
MmuEX6034927	MmuEX6060006	MmuEX6058923
MmuEX6034934	MmuEX6060236	MmuEX6058932
MmuEX6035080	MmuEX6060317	MmuEX6058941
MmuEX6035082	MmuEX6060322	MmuEX6058970
MmuEX6035394	MmuEX6060447	MmuEX6059072
MmuEX6035407	MmuEX6060525	MmuEX6059163
MmuEX6035429	MmuEX6060566	MmuEX6059168
MmuEX6035544	MmuEX6060569	MmuEX6059514
MmuEX6035589	MmuEX6060745	MmuEX6059822
MmuEX6035626	MmuEX6060759	MmuEX6060024
MmuEX6035652	MmuEX6060761	MmuEX6060068
MmuEX6035653	MmuEX6060764	MmuEX6060094
MmuEX6035664	MmuEX6060780	MmuEX6060238
MmuEX6035667	MmuEX6060849	MmuEX6060280
MmuEX6035692	MmuEX6061092	MmuEX6060296
MmuEX6035747	MmuEX6061093	MmuEX6060333
MmuEX6035782	MmuEX6061175	MmuEX6060334
MmuEX6035797	MmuEX6061186	MmuEX6060510
MmuEX6035799	MmuEX6061276	MmuEX6060628
MmuEX6035972	MmuEX6061457	MmuEX6060653
MmuEX6036020	MmuEX6061462	MmuEX6060658
MmuEX6036030	MmuEX6061509	MmuEX6060687
MmuEX6036071	MmuEX6061510	MmuEX6060794
MmuEX6036108	MmuEX6061511	MmuEX6060903
MmuEX6036266	MmuEX6061512	MmuEX6060910
MmuEX6036422	MmuEX6061637	MmuEX6060929
MmuEX6036447	MmuEX6061847	MmuEX6060969
MmuEX6036459	MmuEX6061859	MmuEX6060989
MmuEX6036836	MmuEX6061886	MmuEX6061088
MmuEX6036847	MmuEX6062060	MmuEX6061089
MmuEX6036908	MmuEX6062104	MmuEX6061094
MmuEX6036952	MmuEX6062118	MmuEX6061112
MmuEX6036954	MmuEX6062176	MmuEX6061117
MmuEX6037049	MmuEX6062183	MmuEX6061118
MmuEX6037146	MmuEX6062217	MmuEX6061153
MmuEX6037182	MmuEX6062218	MmuEX6061251
MmuEX6037184	MmuEX6062452	MmuEX6061341
MmuEX6037216	MmuEX6062675	MmuEX6061403
MmuEX6037258	MmuEX6062917	MmuEX6061458
MmuEX6037262	MmuEX6062999	MmuEX6061485
MmuEX6037424	MmuEX6063199	MmuEX6061635
MmuEX6037438	MmuEX6063288	MmuEX6061706
MmuEX6037669	MmuEX6063551	MmuEX6061719
MmuEX6037675	MmuEX6063722	MmuEX6061939
MmuEX6038018	MmuEX6063848	MmuEX6062052
MmuEX6038241	MmuEX6064002	MmuEX6062180
MmuEX6038270	MmuEX6064023	MmuEX6062185
MmuEX6038298	MmuEX6064029	MmuEX6062338
MmuEX6038522	MmuEX6064261	MmuEX6062670
MmuEX6038523	MmuEX6064262	MmuEX6062671
MmuEX6038535	MmuEX6064414	MmuEX6062875
MmuEX6038839	MmuEX6064536	MmuEX6063047
MmuEX6038898	MmuEX6064574	MmuEX6063048
MmuEX6038975	MmuEX6064584	MmuEX6063052
MmuEX6038985	MmuEX6064594	MmuEX6063077
MmuEX6038986	MmuEX6064596	MmuEX6063272
MmuEX6039111	MmuEX6064633	MmuEX6063273
MmuEX6039272	MmuEX6064647	MmuEX6063374
MmuEX6039499	MmuEX6064727	MmuEX6063438
MmuEX6039535	MmuEX6064839	MmuEX6063441
MmuEX6039688	MmuEX6064971	MmuEX6063480
MmuEX6039727	MmuEX6064974	MmuEX6063567
MmuEX6039920	MmuEX6065574	MmuEX6063681
MmuEX6040003	MmuEX6065672	MmuEX6063682
MmuEX6040220	MmuEX6065706	MmuEX6063942
MmuEX6040323	MmuEX6065770	MmuEX6064024
MmuEX6040829	MmuEX6065778	MmuEX6064067
MmuEX6040923	MmuEX6065780	MmuEX6064070
MmuEX6041127	MmuEX6065829	MmuEX6064160
MmuEX6041334	MmuEX6066056	MmuEX6064250
MmuEX6041363	MmuEX6066086	MmuEX6064253
MmuEX6041518	MmuEX6066121	MmuEX6064266
MmuEX6041954	MmuEX6066208	MmuEX6064313
MmuEX6041964	MmuEX6066479	MmuEX6064351
MmuEX6042041	MmuEX6066482	MmuEX6064578
MmuEX6042099	MmuEX6066592	MmuEX6064582
