C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
MmuINT0157939	MmuINT0148504	MmuINT1007945	MmuINT1028320	MmuINT0163719	MmuINT0166606
MmuINT0158016	MmuINT0148698	MmuINT1009461	MmuINT1029387	MmuINT0163957	MmuINT0166657
MmuINT0158087	MmuINT0148781	MmuINT1009462	MmuINT1029453	MmuINT0164138	MmuINT0166780
MmuINT0158626	MmuINT0149218	MmuINT1009872	MmuINT1029581	MmuINT0164191	MmuINT0166782
MmuINT0158819	MmuINT0149304	MmuINT1009918	MmuINT1029606	MmuINT0165080	MmuINT0166821
MmuINT0159196	MmuINT0149572	MmuINT1010041	MmuINT1029720	MmuINT0165094	MmuINT0166956
MmuINT0159474	MmuINT0149987	MmuINT1010085	MmuINT1030090	MmuINT0165175	MmuINT0167285
MmuINT0159591	MmuINT0150033	MmuINT1010434	MmuINT1030130	MmuINT0165186	MmuINT0167634
MmuINT0159595	MmuINT0150581	MmuINT1010739	MmuINT1030146	MmuINT0165600	MmuINT0168128
MmuINT0159644	MmuINT0150693	MmuINT1010885	MmuINT1030399	MmuINT0165631	MmuINT0168149
MmuINT0159676	MmuINT0150694	MmuINT1010931	MmuINT1030409	MmuINT0165725	MmuINT0168165
MmuINT0159894	MmuINT0152185	MmuINT1011090	MmuINT1031066	MmuINT0165736	MmuINT0168166
MmuINT0159969	MmuINT0152300	MmuINT1011360	MmuINT1031093	MmuINT0166165	MmuINT0168323
MmuINT0160334	MmuINT0152316	MmuINT1012852	MmuINT1031136	MmuINT0166655	MmuINT0169012
MmuINT0160441	MmuINT0152394	MmuINT1013653	MmuINT1031782	MmuINT0167447	MmuINT0169016
MmuINT0160548	MmuINT0152667	MmuINT1013858	MmuINT1031793	MmuINT0168119	MmuINT0169019
MmuINT0160551	MmuINT0153508	MmuINT1015129	MmuINT1031929	MmuINT0168138	MmuINT0169390
MmuINT0160791	MmuINT0153590	MmuINT1016407	MmuINT1032082	MmuINT0168364	MmuINT0169414
MmuINT0160913	MmuINT0153906	MmuINT1018719	MmuINT1032203	MmuINT0168443	MmuINT0169523
MmuINT0161009	MmuINT0154147	MmuINT1019938	MmuINT1032207	MmuINT0168565	MmuINT0169815
MmuINT0161274	MmuINT0154601	MmuINT1020052	MmuINT1032209	MmuINT0168821	MmuINT0170058
MmuINT0161315	MmuINT0154769	MmuINT1020139	MmuINT1032331	MmuINT0169076	MmuINT0170205
MmuINT0161497	MmuINT0154793	MmuINT1020282	MmuINT1032343	MmuINT0169201	MmuINT0170206
MmuINT0161557	MmuINT0154835	MmuINT1020423	MmuINT1032480	MmuINT0169854	MmuINT0170461
MmuINT0162056	MmuINT0154856	MmuINT1020432	MmuINT1032526	MmuINT0170183	MmuINT0170744
MmuINT0162238	MmuINT0155321	MmuINT1020692	MmuINT1032695	MmuINT0170225	MmuINT0170770
MmuINT0162257	MmuINT0155570	MmuINT1020702	MmuINT1032698	MmuINT0170840	MmuINT0170821
MmuINT0162419	MmuINT0155890	MmuINT1021100	MmuINT1032725	MmuINT0170914	MmuINT0170822
MmuINT0162496	MmuINT0155980	MmuINT1021474	MmuINT1032770	MmuINT0170972	MmuINT0170864
MmuINT0162578	MmuINT0156294	MmuINT1021515	MmuINT1032842	MmuINT0171160	MmuINT0171058
MmuINT0163284	MmuINT0156299	MmuINT1021673	MmuINT1033063	MmuINT0171161	MmuINT0171593
MmuINT0163720	MmuINT0156329	MmuINT1021779	MmuINT1033319	MmuINT0171421	MmuINT0171900
MmuINT0163778	MmuINT0156502	MmuINT1022179	MmuINT1033601	MmuINT0171429	MmuINT0172030
MmuINT0163825	MmuINT0156614	MmuINT1022646	MmuINT1033611	MmuINT0171560	MmuINT0172112
MmuINT0163887	MmuINT0156758	MmuINT1022950	MmuINT1033838	MmuINT0171984	MmuINT0174048
MmuINT0163997	MmuINT0156851	MmuINT1023000	MmuINT1034096	MmuINT0172286	MmuINT0174772
MmuINT0164676	MmuINT0156986	MmuINT1023353	MmuINT1034313	MmuINT0172506	MmuINT0175343
MmuINT0165726	MmuINT0157071	MmuINT1023828	MmuINT1034504	MmuINT0172507	MmuINT0175706
MmuINT0165939	MmuINT0157284	MmuINT1023844	MmuINT1035096	MmuINT0172601	MmuINT0175738
MmuINT0166521	MmuINT0157392	MmuINT1023970	MmuINT1035388	MmuINT0172602	MmuINT0175811
MmuINT0167088	MmuINT0157482	MmuINT1024261	MmuINT1035410	MmuINT0172920	MmuINT0175908
MmuINT0167243	MmuINT0157593	MmuINT1026212	MmuINT1035656	MmuINT0173540	MmuINT0176004
MmuINT0167336	MmuINT0157698	MmuINT1026235	MmuINT1035685	MmuINT0173916	MmuINT0176202
MmuINT0167375	MmuINT0157756	MmuINT1026355	MmuINT1035967	MmuINT0174352	MmuINT0176999
MmuINT0167389	MmuINT0158202	MmuINT1026395		MmuINT0174919	MmuINT0177010
MmuINT0167438	MmuINT0158417	MmuINT1026562		MmuINT0175002	MmuINT0177377
MmuINT0167497	MmuINT0158501	MmuINT1026591		MmuINT0175044	MmuINT0177732
MmuINT0168457	MmuINT0158633	MmuINT1026819		MmuINT0175066	MmuINT0177764
MmuINT0168484	MmuINT0158637	MmuINT1026825		MmuINT0175520	MmuINT0178198
MmuINT0168525	MmuINT0159228	MmuINT1026983		MmuINT0175704	MmuINT0178276
MmuINT0168937	MmuINT0159807	MmuINT1027227		MmuINT0176470	MmuINT0178313
MmuINT0169257	MmuINT0160318	MmuINT1027378		MmuINT0177033	MmuINT0178658
MmuINT0169320	MmuINT0160470	MmuINT1027410		MmuINT0177078	MmuINT0178948
MmuINT0169369	MmuINT0160475	MmuINT1027462		MmuINT0177367	MmuINT0179516
MmuINT0169786	MmuINT0161247	MmuINT1027484		MmuINT0177378	MmuINT0179989
MmuINT0170451	MmuINT0161331	MmuINT1027620		MmuINT0177600	MmuINT0180449
MmuINT0170574	MmuINT0161374	MmuINT1028594		MmuINT0177640	MmuINT0180738
MmuINT0170727	MmuINT0161582	MmuINT1029494		MmuINT0178150	MmuINT0180819
MmuINT0170830	MmuINT0161661	MmuINT1029527		MmuINT0178553	MmuINT0180846
MmuINT0170961	MmuINT0162267	MmuINT1029567		MmuINT0178557	MmuINT1000019
MmuINT0171057	MmuINT0162535	MmuINT1029947		MmuINT0179034	MmuINT1000419
MmuINT0171067	MmuINT0162853	MmuINT1030077		MmuINT0179188	MmuINT1000797
MmuINT0171327	MmuINT0163919	MmuINT1030102		MmuINT0179241	MmuINT1000915
MmuINT0171428	MmuINT0164464	MmuINT1030109		MmuINT0179280	MmuINT1001102
MmuINT0172005	MmuINT0164536	MmuINT1030296		MmuINT0179419	MmuINT1001229
MmuINT0172113	MmuINT0164793	MmuINT1030328		MmuINT0179430	MmuINT1001291
MmuINT0172249	MmuINT0165529	MmuINT1030378		MmuINT0180366	MmuINT1001835
MmuINT0172251	MmuINT0165708	MmuINT1030568		MmuINT0180532	MmuINT1002076
MmuINT0172558	MmuINT0165722	MmuINT1030669		MmuINT0180723	MmuINT1002143
MmuINT0172606	MmuINT0165749	MmuINT1030787		MmuINT1000120	MmuINT1003005
MmuINT0172705	MmuINT0165815	MmuINT1030852		MmuINT1000332	MmuINT1003362
MmuINT0172883	MmuINT0166538	MmuINT1031122		MmuINT1000664	MmuINT1003380
MmuINT0173614	MmuINT0166660	MmuINT1031402		MmuINT1001148	MmuINT1003926
MmuINT0173870	MmuINT0166716	MmuINT1031964		MmuINT1001219	MmuINT1003939
MmuINT0173934	MmuINT0167328	MmuINT1032175		MmuINT1001361	MmuINT1004000
MmuINT0174074	MmuINT0167435	MmuINT1032722		MmuINT1002980	MmuINT1004174
MmuINT0174198	MmuINT0167520	MmuINT1032767		MmuINT1003074	MmuINT1004488
MmuINT0174948	MmuINT0167569	MmuINT1032772		MmuINT1003627	MmuINT1004516
MmuINT0174999	MmuINT0168025	MmuINT1032997		MmuINT1004050	MmuINT1004556
MmuINT0175280	MmuINT0168142	MmuINT1033136		MmuINT1004170	MmuINT1004612
MmuINT0175868	MmuINT0168159	MmuINT1033160		MmuINT1004569	MmuINT1004629
MmuINT0175977	MmuINT0168337	MmuINT1033282		MmuINT1004592	MmuINT1004632
MmuINT0176063	MmuINT0168529	MmuINT1033426		MmuINT1004995	MmuINT1004706
MmuINT0176436	MmuINT0168613	MmuINT1033685		MmuINT1005053	MmuINT1004763
MmuINT0176733	MmuINT0168783	MmuINT1033696		MmuINT1005314	MmuINT1004786
MmuINT0177085	MmuINT0168956	MmuINT1033783		MmuINT1005426	MmuINT1004971
MmuINT0177203	MmuINT0169193	MmuINT1033861		MmuINT1006050	MmuINT1005553
MmuINT0177391	MmuINT0169194	MmuINT1033948		MmuINT1006399	MmuINT1005582
MmuINT0177617	MmuINT0169403	MmuINT1034022		MmuINT1006776	MmuINT1005865
MmuINT0177674	MmuINT0169405	MmuINT1034137		MmuINT1007024	MmuINT1005866
MmuINT0177813	MmuINT0169807	MmuINT1034493		MmuINT1007078	MmuINT1005971
MmuINT0178228	MmuINT0169838	MmuINT1034495		MmuINT1007179	MmuINT1006075
MmuINT0178574	MmuINT0169870	MmuINT1034507		MmuINT1007529	MmuINT1006444
MmuINT0178903	MmuINT0170047	MmuINT1034612		MmuINT1007827	MmuINT1006503
MmuINT0179029	MmuINT0170224	MmuINT1035310		MmuINT1007859	MmuINT1006672
MmuINT0179030	MmuINT0170236	MmuINT1035344		MmuINT1008009	MmuINT1007150
MmuINT0179558	MmuINT0170562	MmuINT1035398		MmuINT1008184	MmuINT1007151
MmuINT0180084	MmuINT0171055	MmuINT1035431		MmuINT1008340	MmuINT1007190
MmuINT0180560	MmuINT0171156	MmuINT1035704		MmuINT1008908	MmuINT1007217
MmuINT0180564	MmuINT0171163	MmuINT1035863		MmuINT1008947	MmuINT1007384
MmuINT0180717	MmuINT0171363			MmuINT1009076	MmuINT1007406
MmuINT0180817	MmuINT0171378			MmuINT1009178	MmuINT1007446
MmuINT0181106	MmuINT0171380			MmuINT1009186	MmuINT1007505
MmuINT1000423	MmuINT0171430			MmuINT1009262	MmuINT1007599
MmuINT1000453	MmuINT0171559			MmuINT1009271	MmuINT1008000
MmuINT1000581	MmuINT0171887			MmuINT1009390	MmuINT1008334
MmuINT1000955	MmuINT0171968			MmuINT1009471	MmuINT1008428
MmuINT1001215	MmuINT0171985			MmuINT1009657	MmuINT1008738
MmuINT1001663	MmuINT0172009			MmuINT1009766	MmuINT1008824
MmuINT1002290	MmuINT0172114			MmuINT1009820	MmuINT1008904
MmuINT1002505	MmuINT0172250			MmuINT1009925	MmuINT1009085
MmuINT1002708	MmuINT0173630			MmuINT1010161	MmuINT1009395
MmuINT1002874	MmuINT0173888			MmuINT1011741	MmuINT1009610
MmuINT1002887	MmuINT0174131			MmuINT1012033	MmuINT1009634
MmuINT1003204	MmuINT0174150			MmuINT1014169	MmuINT1009677
MmuINT1003382	MmuINT0174306			MmuINT1014493	MmuINT1009962
MmuINT1004545	MmuINT0175076			MmuINT1015491	MmuINT1010023
MmuINT1004596	MmuINT0175151			MmuINT1015663	MmuINT1010068
MmuINT1004868	MmuINT0175208			MmuINT1015792	MmuINT1010091
MmuINT1005046	MmuINT0175314			MmuINT1016194	MmuINT1010176
MmuINT1005070	MmuINT0175352			MmuINT1016972	MmuINT1010848
MmuINT1005182	MmuINT0176527			MmuINT1017398	MmuINT1011051
MmuINT1005306	MmuINT0176742			MmuINT1017455	MmuINT1011053
MmuINT1005370	MmuINT0176987			MmuINT1017699	MmuINT1011173
MmuINT1005918	MmuINT0176988			MmuINT1018449	MmuINT1011365
MmuINT1006008	MmuINT0177036			MmuINT1019085	MmuINT1011498
MmuINT1006013	MmuINT0177198			MmuINT1019977	MmuINT1011992
MmuINT1006020	MmuINT0177201			MmuINT1020521	MmuINT1012084
MmuINT1006168	MmuINT0177270			MmuINT1020810	MmuINT1013062
MmuINT1006261	MmuINT0177583			MmuINT1020950	MmuINT1013330
MmuINT1006385	MmuINT0177743			MmuINT1021016	MmuINT1013485
MmuINT1006389	MmuINT0177819			MmuINT1021344	MmuINT1013901
MmuINT1006390	MmuINT0177878			MmuINT1021377	MmuINT1014712
MmuINT1006649	MmuINT0178127			MmuINT1021484	MmuINT1014857
MmuINT1006662	MmuINT0178427			MmuINT1021559	MmuINT1015131
MmuINT1006710	MmuINT0178655			MmuINT1021708	MmuINT1015950
MmuINT1007075	MmuINT0178874			MmuINT1022756	MmuINT1016073
MmuINT1007408	MmuINT0178915			MmuINT1022788	MmuINT1016457
MmuINT1007447	MmuINT0179015			MmuINT1022796	MmuINT1016672
MmuINT1007541	MmuINT0179356			MmuINT1022798	MmuINT1017436
MmuINT1007562	MmuINT0179421			MmuINT1022825	MmuINT1017654
MmuINT1008440	MmuINT0179454			MmuINT1022827	MmuINT1017979
MmuINT1008603	MmuINT0179663			MmuINT1022856	MmuINT1018501
MmuINT1008700	MmuINT0179884			MmuINT1022923	MmuINT1019075
MmuINT1008932	MmuINT0179964			MmuINT1023122	MmuINT1019226
MmuINT1009078	MmuINT0180037			MmuINT1023236	MmuINT1019446
MmuINT1009237	MmuINT0180090			MmuINT1023386	MmuINT1019954
MmuINT1009323	MmuINT0180344			MmuINT1023392	MmuINT1020016
MmuINT1009344	MmuINT0180347			MmuINT1023411	MmuINT1020055
MmuINT1009717	MmuINT0180417			MmuINT1023599	MmuINT1020237
MmuINT1009796	MmuINT0180579			MmuINT1023781	MmuINT1020299
MmuINT1009870	MmuINT0180701			MmuINT1024064	MmuINT1020760
MmuINT1010125	MmuINT0180725			MmuINT1024114	MmuINT1020772
MmuINT1010261	MmuINT0180732			MmuINT1024129	MmuINT1020926
MmuINT1010262	MmuINT0180736			MmuINT1024133	MmuINT1021090
MmuINT1010266	MmuINT0180954			MmuINT1024220	MmuINT1021099
MmuINT1010650	MmuINT1000020			MmuINT1024252	MmuINT1021213
MmuINT1010709	MmuINT1000487			MmuINT1024352	MmuINT1021367
MmuINT1010809	MmuINT1001159			MmuINT1026028	MmuINT1021418
MmuINT1010881	MmuINT1002297			MmuINT1026139	MmuINT1021529
MmuINT1010925	MmuINT1002666			MmuINT1026171	MmuINT1021565
MmuINT1010964	MmuINT1003635			MmuINT1026483	MmuINT1021674
MmuINT1011623	MmuINT1003992			MmuINT1027164	MmuINT1022018
MmuINT1011626	MmuINT1004053			MmuINT1027167	MmuINT1022034
MmuINT1012101	MmuINT1004246			MmuINT1027267	MmuINT1022071
MmuINT1012278	MmuINT1004282			MmuINT1027468	MmuINT1022168
MmuINT1012913	MmuINT1004493			MmuINT1027591	MmuINT1022351
MmuINT1013155	MmuINT1004749			MmuINT1027595	MmuINT1022356
MmuINT1013316	MmuINT1004998			MmuINT1027657	MmuINT1022393
MmuINT1013332	MmuINT1005003			MmuINT1028296	MmuINT1022626
MmuINT1013933	MmuINT1005482			MmuINT1029058	MmuINT1022822
MmuINT1014021	MmuINT1005554			MmuINT1029476	MmuINT1022845
MmuINT1014061	MmuINT1005583			MmuINT1029483	MmuINT1023984
MmuINT1014078	MmuINT1005805			MmuINT1029504	MmuINT1024265
MmuINT1016193	MmuINT1006183			MmuINT1029516	MmuINT1024359
MmuINT1016664	MmuINT1006309			MmuINT1030049	MmuINT1024420
MmuINT1018098	MmuINT1006473			MmuINT1030416	MmuINT1024517
MmuINT1018692	MmuINT1006741			MmuINT1030478	MmuINT1024758
MmuINT1019708	MmuINT1007214			MmuINT1030534	MmuINT1024762
MmuINT1019814	MmuINT1007224			MmuINT1030599	MmuINT1026247
MmuINT1020011	MmuINT1007287			MmuINT1030754	MmuINT1026263
MmuINT1020195	MmuINT1007420			MmuINT1030819	MmuINT1026274
MmuINT1020929	MmuINT1007593			MmuINT1031080	MmuINT1026489
MmuINT1020992	MmuINT1007858			MmuINT1031087	MmuINT1026611
MmuINT1021095	MmuINT1008660			MmuINT1031170	MmuINT1026986
MmuINT1021863	MmuINT1008909			MmuINT1031520	MmuINT1026991
MmuINT1021866	MmuINT1009045			MmuINT1031521	MmuINT1027031
MmuINT1022182	MmuINT1009046			MmuINT1031580	MmuINT1027151
MmuINT1022347	MmuINT1009450			MmuINT1031815	MmuINT1027166
MmuINT1022891	MmuINT1009545			MmuINT1031874	MmuINT1027181
MmuINT1023204	MmuINT1009591			MmuINT1031946	MmuINT1027492
MmuINT1023354	MmuINT1009676			MmuINT1032580	MmuINT1027601
MmuINT1023413	MmuINT1009797			MmuINT1033278	MmuINT1027820
MmuINT1023476	MmuINT1009978			MmuINT1033603	MmuINT1029562
MmuINT1023830	MmuINT1010129			MmuINT1033697	MmuINT1029664
MmuINT1024048	MmuINT1010204			MmuINT1033698	MmuINT1029704
MmuINT1024151	MmuINT1010847			MmuINT1033950	MmuINT1029723
MmuINT1024358	MmuINT1010884			MmuINT1034116	MmuINT1029755
MmuINT1024371	MmuINT1011413			MmuINT1034191	MmuINT1029768
MmuINT1024541	MmuINT1011475			MmuINT1034197	MmuINT1029877
MmuINT1024642	MmuINT1012245			MmuINT1034302	MmuINT1030021
MmuINT1024707	MmuINT1013037			MmuINT1034336	MmuINT1030028
MmuINT1024763	MmuINT1013513			MmuINT1034523	MmuINT1030117
MmuINT1025984	MmuINT1013881			MmuINT1035030	MmuINT1030160
MmuINT1026191	MmuINT1014795			MmuINT1035194	MmuINT1030342
MmuINT1026211	MmuINT1015274			MmuINT1035301	MmuINT1030477
MmuINT1026236	MmuINT1017973			MmuINT1035464	MmuINT1030645
MmuINT1026300	MmuINT1019273			MmuINT1035822	MmuINT1030749
MmuINT1026343	MmuINT1019297				MmuINT1030824
MmuINT1026634	MmuINT1020225				MmuINT1030877
MmuINT1027132	MmuINT1020288				MmuINT1031067
MmuINT1027368	MmuINT1020695				MmuINT1031118
MmuINT1027391	MmuINT1020731				MmuINT1031366
MmuINT1027594	MmuINT1020759				MmuINT1031407
MmuINT1027609	MmuINT1020761				MmuINT1031676
MmuINT1027658	MmuINT1020805				MmuINT1031686
MmuINT1027838	MmuINT1020867				MmuINT1031927
MmuINT1027869	MmuINT1020915				MmuINT1032170
MmuINT1027951	MmuINT1021103				MmuINT1032372
MmuINT1028525	MmuINT1021879				MmuINT1032387
MmuINT1028663	MmuINT1022078				MmuINT1032525
MmuINT1029800	MmuINT1022382				MmuINT1032627
MmuINT1030059	MmuINT1022429				MmuINT1033830
MmuINT1030078	MmuINT1022754				MmuINT1034012
MmuINT1030100	MmuINT1022828				MmuINT1034097
MmuINT1030187	MmuINT1022837				MmuINT1034144
MmuINT1030189	MmuINT1022877				MmuINT1034531
MmuINT1030275	MmuINT1022881				MmuINT1035749
MmuINT1030466	MmuINT1023088				MmuINT1035815
MmuINT1030470	MmuINT1023175				MmuINT1035844
MmuINT1030539	MmuINT1023245				MmuINT1036041
MmuINT1030600	MmuINT1023381				
MmuINT1031089	MmuINT1023404				
MmuINT1031117	MmuINT1023423				
MmuINT1031141	MmuINT1023522				
MmuINT1031176	MmuINT1023972				
MmuINT1031316	MmuINT1023989				
MmuINT1031717	MmuINT1024274				
MmuINT1031932	MmuINT1024442				
MmuINT1032222	MmuINT1024608				
MmuINT1032934	MmuINT1024755				
MmuINT1033075	MmuINT1025978				
MmuINT1033249	MmuINT1026176				
MmuINT1033463	MmuINT1026341				
MmuINT1033494	MmuINT1026466				
MmuINT1033600	MmuINT1026636				
MmuINT1033614	MmuINT1027024				
MmuINT1033670	MmuINT1027086				
MmuINT1034023	MmuINT1027272				
MmuINT1034163	MmuINT1027320				
MmuINT1034169	MmuINT1027323				
MmuINT1034193	MmuINT1027394				
MmuINT1034282	MmuINT1027714				
MmuINT1034301	MmuINT1028679				
MmuINT1034348	MmuINT1029401				
MmuINT1034359	MmuINT1029412				
MmuINT1034393	MmuINT1029515				
MmuINT1034413	MmuINT1029792				
MmuINT1034451	MmuINT1029863				
MmuINT1034573	MmuINT1029928				
MmuINT1035291	MmuINT1030019				
MmuINT1035352	MmuINT1030114				
MmuINT1035353	MmuINT1030212				
MmuINT1035411	MmuINT1030231				
MmuINT1035420	MmuINT1030435				
MmuINT1035433	MmuINT1030870				
MmuINT1035463	MmuINT1031084				
MmuINT1035531	MmuINT1031085				
MmuINT1035563	MmuINT1031310				
MmuINT1035601	MmuINT1031728				
MmuINT1035641	MmuINT1031747				
MmuINT1035647	MmuINT1031809				
MmuINT1035648	MmuINT1031863				
MmuINT1035773	MmuINT1031875				
MmuINT1035781	MmuINT1031926				
	MmuINT1032098				
	MmuINT1032197				
	MmuINT1032227				
	MmuINT1032342				
	MmuINT1033070				
	MmuINT1033103				
	MmuINT1033328				
	MmuINT1033558				
	MmuINT1033602				
	MmuINT1034055				
	MmuINT1034117				
	MmuINT1034205				
	MmuINT1034210				
	MmuINT1034269				
	MmuINT1034288				
	MmuINT1034294				
	MmuINT1034445				
	MmuINT1034498				
	MmuINT1035038				
	MmuINT1035160				
	MmuINT1035276				
	MmuINT1035311				
	MmuINT1035763				
	MmuINT1035849				
	MmuINT1035854				
	MmuINT1035880				
	MmuINT1035890				
	MmuINT1035909				
